task,task_id,item_uid,trial_type,prompt,item,answer,response_alternatives,chance_level,prompt_phrase,prompt_image,full_prompt
egma-math,math,math_missing_30_35_x_45,Missing Number,What number goes here?,"30, 35, _, 45",40,"50,25,55",0.25,"30, 35, _, 45",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_550_540_530_x,Missing Number,What number goes here?,"550, 540, 530, _",520,"510,500,525",0.25,"550, 540, 530, _",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_3_8_x_18,Missing Number,What number goes here?,"3, 8, _, 18",13,"16,14,10",0.25,"3, 8, _, 18",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_1_1,Addition,Add the numbers and choose the correct answer.,1+1,2,"0,1,3",0.25,1+1,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_2_2,Addition,Add the numbers and choose the correct answer.,2+2,4,"5,2,0",0.25,2+2,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_1_3,Addition,Add the numbers and choose the correct answer.,1+3,4,"5,6,2",0.25,1+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_2_3,Addition,Add the numbers.,2+3,5,"7,6,4",0.25,2+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_6_2,Addition,Add the numbers.,6+2,8,"9,7,12",0.25,6+2,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_4_5,Addition,Add the numbers.,4+5,9,"7,8,11",0.25,4+5,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_3_3,Addition,Add the numbers.,3+3,6,"4,7,8",0.25,3+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_8_1,Addition,Add the numbers.,8+1,9,"7,10,11",0.25,8+1,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_7_3,Addition,Add the numbers.,7+3,10,"11,9,8",0.25,7+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_3_9,Addition,Add the numbers.,3+9,12,"11,13,14",0.25,3+9,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_2_8,Addition,Add the numbers.,2+8,10,"9,11,12",0.25,2+8,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_9_3,Addition,Add the numbers.,9+3,12,"13,10,14",0.25,9+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_7_8,Addition,Add the numbers.,7+8,15,"13,17,19",0.25,7+8,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_4_7,Addition,Add the numbers.,4+7,11,"12,13,10",0.25,4+7,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_7_5,Addition,Add the numbers.,7+5,12,"14,13,11",0.25,7+5,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_8_6,Addition,Add the numbers.,8+6,14,"16,18,12",0.25,8+6,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_9_8,Addition,Add the numbers.,9+8,17,"19,15,16",0.25,9+8,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_6_7,Addition,Add the numbers.,6+7,13,"15,11,12",0.25,6+7,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_8_8,Addition,Add the numbers.,8+8,16,"14,18,17",0.25,8+8,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_8_5,Addition,Add the numbers.,8+5,13,"15,11,16",0.25,8+5,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_10_2,Addition,Add the numbers.,10+2,12,"14,13,11",0.25,10+2,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_8_10,Addition,Add the numbers.,8+10,18,"19,17,16",0.25,8+10,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_13_6,Addition,Add the numbers.,13+6,19,"18,17,20",0.25,13+6,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_18_7,Addition,Add the numbers.,18+7,25,"23,24,26",0.25,18+7,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_12_14,Addition,Add the numbers.,12+14,26,"24,28,25",0.25,12+14,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_22_37,Addition,Add the numbers.,22+37,59,"69,51,49",0.25,22+37,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_38_26,Addition,Add the numbers.,38+26,64,"54,66,56",0.25,38+26,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_2_1,Subtraction,Subtract the numbers and choose the correct answer.,2-1,1,"3,5,2",0.25,2-1,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_4_2,Subtraction,Subtract the numbers and choose the correct answer.,4-2,2,"0,3,6",0.25,4-2,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_4_3,Subtraction,Subtract the numbers and choose the correct answer.,4-3,1,"2,3,4",0.25,4-3,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_5_3,Subtraction,Subtract the numbers and choose the correct answer.,5-3,2,"3,4,5",0.25,5-3,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_8_2,Subtraction,Subtract the numbers.,8-2,6,"5,4,7",0.25,8-2,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_9_5,Subtraction,Subtract the numbers.,9-5,4,"6,5,3",0.25,9-5,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_6_3,Subtraction,Subtract the numbers.,6-3,3,"9,5,4",0.25,6-3,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_9_1,Subtraction,Subtract the numbers.,9-1,8,"7,9,10",0.25,9-1,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_10_3,Subtraction,Subtract the numbers.,10-3,7,"6,8,5",0.25,10-3,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_12_9,Subtraction,Subtract the numbers.,12-9,3,"4,2,5",0.25,12-9,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_10_8,Subtraction,Subtract the numbers.,10-8,2,"3,4,5",0.25,10-8,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_12_3,Subtraction,Subtract the numbers.,12-3,9,"8,7,10",0.25,12-3,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_15_8,Subtraction,Subtract the numbers.,15-8,7,"6,8,9",0.25,15-8,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_11_7,Subtraction,Subtract the numbers.,11-7,4,"2,3,5",0.25,11-7,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_12_5,Subtraction,Subtract the numbers.,12-5,7,"6,8,9",0.25,12-5,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_14_6,Subtraction,Subtract the numbers.,14-6,8,"7,6,9",0.25,14-6,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_17_8,Subtraction,Subtract the numbers.,17-8,9,"8,11,7",0.25,17-8,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_13_7,Subtraction,Subtract the numbers.,13-7,6,"7,8,9",0.25,13-7,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_16_8,Subtraction,Subtract the numbers.,16-8,8,"9,7,6",0.25,16-8,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_13_5,Subtraction,Subtract the numbers.,13-5,8,"7,9,6",0.25,13-5,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_12_2,Subtraction,Subtract the numbers.,12-2,10,"9,11,8",0.25,12-2,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_18_10,Subtraction,Subtract the numbers.,18-10,8,"7,10,9",0.25,18-10,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_19_6,Subtraction,Subtract the numbers.,19-6,13,"11,12,14",0.25,19-6,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_25_7,Subtraction,Subtract the numbers.,25-7,18,"19,17,16",0.25,25-7,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_26_14,Subtraction,Subtract the numbers.,26-14,12,"13,11,15",0.25,26-14,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_59_37,Subtraction,Subtract the numbers.,59-37,22,"21,19,23",0.25,59-37,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_subtract_64_26,Subtraction,Subtract the numbers.,64-26,38,"36,37,34",0.25,64-26,NA,"Subtract the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_3_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",3,"5,6,1",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_6_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",6,"7,3,8",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_1_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",1,"4,3,5",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_2_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",2,"0,4,5",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_4_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",4,"6,1,2",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_5_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",5,"6,4,3",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_7_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",7,"5,4,9",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_8_10,Number Line 4afc,Choose the number that is marked on the number line.,"0,10",8,"10,6,5",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_50_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",50,"40,60,30",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_30_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",30,"50,15,45",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_98_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",98,"68,83,71",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_7_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",7,"33,41,25",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_25_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",25,"10,45,5",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_67_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",67,"51,83,89",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_33_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",33,"22,44,11",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_79_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",79,"95,59,63",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_line_14_100,Number Line 4afc,Choose the number that is marked on the number line.,"0,100",14,"43,29,36",0.25,NA,TODO,"<prompt_image> Choose the number that is marked on the number line. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
