task,item_uid,answer,response_alternatives,prompt_phrase,full_prompt,trial_type,age_band,category,hardness
synthetic-vocab,synthetic_vocab__zebra,zebra,"giraffe,grasshopper,propeller",zebra,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: zebra.",test,5,animal,2
synthetic-vocab,synthetic_vocab__bat,bat,"rat,leech,seaweed",bat,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bat.",test,5,animal,2
synthetic-vocab,synthetic_vocab__pretzel,pretzel,"peanut,clothes,warthog",pretzel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pretzel.",test,5,object,2
synthetic-vocab,synthetic_vocab__snake,snake,"hawk,bee,highchair",snake,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: snake.",test,5,animal,2
synthetic-vocab,synthetic_vocab__guitar,guitar,"violin,closet,pearl",guitar,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: guitar.",test,5,object,2
synthetic-vocab,synthetic_vocab__meatball,meatball,"muffin,wineglass,doormat",meatball,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: meatball.",test,6,object,2
synthetic-vocab,synthetic_vocab__dolphin,dolphin,"shark,flamingo,knitting",dolphin,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: dolphin.",test,6,animal,2
synthetic-vocab,synthetic_vocab__ambulance,ambulance,"truck,locket,backscratcher",ambulance,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ambulance.",test,6,object,2
synthetic-vocab,synthetic_vocab__stool,stool,"table,tablecloth,melon",stool,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stool.",test,6,object,2
synthetic-vocab,synthetic_vocab__blueberry,blueberry,"berry,cabinet,goldfish",blueberry,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: blueberry.",test,6,object,2
synthetic-vocab,synthetic_vocab__fence,fence,"railing,crane,cashew",fence,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: fence.",test,6,object,2
synthetic-vocab,synthetic_vocab__timer,timer,"tag,motorcycle,starfish",timer,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: timer.",test,6,object,2
synthetic-vocab,synthetic_vocab__swan,swan,"goose,yak,mascara",swan,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: swan.",test,6,animal,2
synthetic-vocab,synthetic_vocab__brick,brick,"block,cranberry,hairpin",brick,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: brick.",test,6,object,2
synthetic-vocab,synthetic_vocab__mushroom,mushroom,"fungus,tortilla,overalls",mushroom,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: mushroom.",test,6,object,2
synthetic-vocab,synthetic_vocab__globe,globe,"bubble,mitten,stockings",globe,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: globe.",test,6,object,2
synthetic-vocab,synthetic_vocab__scooter,scooter,"coop,trombone,windowsill",scooter,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: scooter.",test,7,object,2
synthetic-vocab,synthetic_vocab__toaster,toaster,"heater,jewel,wreath",toaster,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: toaster.",test,7,object,2
synthetic-vocab,synthetic_vocab__marble,marble,"crystal,shield,pheasant",marble,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: marble.",test,7,object,2
synthetic-vocab,synthetic_vocab__extinguisher,extinguisher,"lighter,bead,ravioli",extinguisher,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: extinguisher.",test,7,object,2
synthetic-vocab,synthetic_vocab__fireplace,fireplace,"altar,reel,ratchet",fireplace,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: fireplace.",test,7,object,2
synthetic-vocab,synthetic_vocab__headrest,headrest,"footrest,birdbath,origami",headrest,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: headrest.",test,8,object,3
synthetic-vocab,synthetic_vocab__scorpion,scorpion,"cobra,bison,denture",scorpion,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: scorpion.",test,8,animal,3
synthetic-vocab,synthetic_vocab__torch,torch,"blowtorch,leash,gravestone",torch,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: torch.",test,8,object,3
synthetic-vocab,synthetic_vocab__makeup,makeup,"peg,bracket,sprouts",makeup,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: makeup.",test,8,object,3
synthetic-vocab,synthetic_vocab__banjo,banjo,"basil,visor,cockroach",banjo,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: banjo.",test,8,object,3
synthetic-vocab,synthetic_vocab__compass,compass,"bomb,mousetrap,forklift",compass,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: compass.",test,8,object,3
synthetic-vocab,synthetic_vocab__funnel,funnel,"spout,stirrup,valve",funnel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: funnel.",test,8,object,3
synthetic-vocab,synthetic_vocab__sling,sling,"brace,stamp,penlight",sling,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: sling.",test,9,object,4
synthetic-vocab,synthetic_vocab__whisk,whisk,"whip,grinder,kaleidoscope",whisk,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: whisk.",test,9,object,4
synthetic-vocab,synthetic_vocab__shredder,shredder,"sweeper,shears,trunk",shredder,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: shredder.",test,9,object,4
synthetic-vocab,synthetic_vocab__saxophone,saxophone,"clarinet,firewood,hail",saxophone,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: saxophone.",test,9,object,4
synthetic-vocab,synthetic_vocab__keyboard,keyboard,"tablet,urinal,gazelle",keyboard,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: keyboard.",test,9,object,4
synthetic-vocab,synthetic_vocab__spur,spur,"spear,wheelbarrow,videocassette",spur,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: spur.",test,9,object,4
synthetic-vocab,synthetic_vocab__gong,gong,"gem,grater,leopard",gong,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: gong.",test,10,object,4
synthetic-vocab,synthetic_vocab__boomerang,boomerang,"bumper,charger,incense",boomerang,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: boomerang.",test,10,object,4
synthetic-vocab,synthetic_vocab__ladle,ladle,"penholder,mold,organ",ladle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ladle.",test,10,object,4
synthetic-vocab,synthetic_vocab__flask,flask,"filter,beanie,poppy",flask,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: flask.",test,11,object,4
