screenshot_file,item_uid,assessment_stage,corpus_prompt,visual_scene_description,ui_context,novel_visual_info,error,ui_context_source
2025-07-02T04-13-18-theory-of-mind-030-step-28.png,,instructions,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys.",A cartoon woman with brown hair and a green shirt is standing in front of a blue sky with clouds.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-031-step-29.png,,instructions,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it.",A cartoon boy is looking for his toy on the grass.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-032-step-30.png,tom_deception_emotion_reasoning_1,test_response,How does Joshua feel about losing his truck?,A cartoon of a boy in a striped shirt and shorts is playing with a blue and white checkered blanket in a grassy field.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-033-step-31.png,tom_deception_emotion_reasoning_2,test_response,How would Joshua feel if he found his truck?,A cartoon boy is looking for his truck in a field.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-034-step-32.png,,instructions,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox.",A cartoon of a girl playing in a sandbox.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-035-step-33.png,,instructions,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.",A cartoon image of a woman and a child standing in a field with a toy truck.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-036-step-34.png,tom_deception_false_belief_1,test_response,Is it fair that Mother is mad at Joshua for losing his truck?,A cartoon image of a woman and a boy standing in a field with a truck.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-037-step-35.png,tom_deception_false_belief_2,test_response,Is Mother mad at Isabel?,A cartoon image of a woman and a child standing in a field with a speech bubble above them.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-038-step-36.png,tom_deception_false_belief_3,test_response,Is Joshua mad at Isabel?,A cartoon image of a woman and a boy standing in a field with a sandbox.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-039-step-37.png,,instructions,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.",A cartoon image of a girl playing in the sandbox with a truck.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-040-step-38.png,tom_deception_reality_check_1,test_response,Is Mother mad at Joshua now?,A cartoon image of a group of people with a question about whether Mother is mad at Joshua now.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-041-step-39.png,tom_deception_reality_check_2,test_response,Is Mother mad at Isabel now?,A cartoon image of a group of people with a question about whether Mother is mad at Isabel now.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-042-step-40.png,tom_deception_reality_check_3,test_response,Is Joshua mad at Isabel now?,A cartoon image of a group of people with a question about Joshua and Isabel.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-043-step-41.png,,instructions,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.",A cartoon image of a family with a woman holding a baby and a man standing next to them.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-044-step-42.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-045-step-43.png,,instructions,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf.",A cartoon image of a kitchen with a family in it.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-046-step-44.png,,instructions,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”",A cartoon image of a kitchen with a man and a child standing at a table.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-047-step-45.png,tom_reference_reference,test_response,Which cup will Dad give Katie?,A cartoon image of a man and a child in a kitchen.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-048-step-46.png,tom_reference_reality_check,test_response,Which cup does Katie want?,A cartoon image of a man and a girl in a kitchen with a question about which cup Kate wants.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-049-step-47.png,tom_reference_emotion_reasoning_1,test_response,How does Katie feel about not getting the cup she wanted?,A cartoon image of a kitchen with a girl sitting at a table.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-050-step-48.png,tom_reference_emotion_reasoning_2,test_response,How would Katie feel if she had received the cup she wanted?,A cartoon image of a kitchen with a girl sitting at a table.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-051-step-49.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-052-step-50.png,,instructions,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.",A cartoon of two kids playing chess on the floor.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-053-step-51.png,,instructions,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.",A cartoon image of a boy and a girl in a room.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-054-step-52.png,tom_second_order_reality_check,test_response,Does Maria know that they are selling shoes in the shop?,A cartoon image of a girl and a boy standing in a room with a checkerboard on the floor.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-055-step-53.png,,instructions,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.",A cartoon image of a girl and a boy standing in front of a shop.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-056-step-54.png,tom_second_order_false_belief_1,test_response,Does Sam know that Maria bought some socks?,A cartoon image of a girl and a boy standing in front of a clothing rack.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-057-step-55.png,tom_second_order_false_belief_2,test_response,What does Sam think they are selling at the shop?,A cartoon image of a girl and a boy standing in front of a clothing store.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-058-step-56.png,,instructions,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.” “That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”",A cartoon image of a man and a girl standing in front of a blue background.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-059-step-57.png,tom_second_order_false_belief_1,test_response,What does Maria tell dad?,A cartoon image of a man and a child standing in front of a blue background with clouds.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-060-step-58.png,,instructions,Then dad asks: “What does Sam think they are selling at the shop?”,A cartoon image of a man and a boy standing in front of a store.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-061-step-59.png,tom_second_order_false_belief_2,test_response,What does Maria tell dad?,A cartoon image of a man and two children standing in front of a blue sky with clouds.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-062-step-60.png,tom_second_order_false_belief_3,test_response,What does Sam think they are selling at the shop?,A cartoon image of a man and a child standing in front of a store.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-063-step-61.png,,instructions,Sam is very happy to get his new socks.,"A cartoon image of two people, one in an orange shirt and the other in a blue shirt, standing in front of a bookshelf.",instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-064-step-62.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-065-step-63.png,,instructions,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Screen showing a pair of legs wearing new shoes.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-066-step-64.png,,instructions,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",A cartoon image of a person's feet in red shoes standing on a muddy puddle.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-067-step-65.png,ha_bump_attribution,test_response,Do you think that the boy bumped you on purpose or by accident?,A cartoon image of a person's feet wearing red shoes standing on a gray surface with a blue sky in the background.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-068-step-66.png,ha_bump_action,test_response,Now pick one of the three choices as the one you would do:,A cartoon image of a person's feet wearing red shoes standing on a gray surface with a blue sky in the background.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-069-step-67.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-070-step-68.png,,instructions,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.",A boy is bouncing a basketball on the grass.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-071-step-69.png,,instructions,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",A cartoon image of a boy bouncing a ball under a boy's feet.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-072-step-70.png,ha_bounce_attribution,test_response,Do you think that the boy made you fall on purpose or by accident?,A cartoon image of children playing on a grassy field with a question about whether the way they fell was on purpose or by accident.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-073-step-71.png,ha_bounce_action,test_response,Now pick one of the three choices as the one you would do:,"A cartoon image of children playing on a field with a speech bubble saying ""Now pick one of the three choices the one you would do.""",question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-074-step-72.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-075-step-73.png,,instructions,Imagine that you are working on an assignment at your desk.,A cartoon image of a person writing in a notebook with a pencil.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-076-step-74.png,,instructions,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there.",A cartoon boy is walking towards a desk with a pencil on it.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-077-step-75.png,,instructions,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.",A cartoon image of a desk with papers scattered on it.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-078-step-76.png,ha_knock_attribution,test_response,Do you think the boy knocked your papers onto the floor on purpose or by accident?,A cartoon image of a wooden table with papers and pencils on it.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-079-step-77.png,ha_knock_action,test_response,Now pick one of the three choices as the one you would do:,"A wooden table with a notebook, pencils, and papers on it.",question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-080-task-completed.png,,,,"The image depicts a simple, stylized sky with a few clouds. The sky is light blue, and the clouds are white with a few small, white circles representing the sun. The clouds are scattered across the sky, with some appearing closer to the viewer and others further away. There are no other objects or t",completion_screen,,,filename_task_completed
