screenshot_file,screenshot_index,step_label,extracted_prompt_text,image_description,stage_guess,matched,match_method,corpus_row_index,block_index,assessment_stage,trial_type,item_uid,corpus_prompt
2025-07-02T04-13-18-theory-of-mind-051-step-49.png,51,49,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,48,6,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-052-step-50.png,52,50,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Ok. Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: 'I am going to buy new shirts for us there,' and she walks away.",instructions,True,index,49,6,instructions,instructions,,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away."
2025-07-02T04-13-18-theory-of-mind-053-step-51.png,53,51,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","Screen showing prompt: Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.",instructions,True,index,50,6,instructions,instructions,,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says."
2025-07-02T04-13-18-theory-of-mind-054-step-52.png,54,52,Does Maria know that they are selling shoes in the shop?,Does Maria know that they are selling shoes in the shop?,test_response,True,index,51,6,test_response,reality_check_question,tom_second_order_reality_check,Does Maria know that they are selling shoes in the shop?
2025-07-02T04-13-18-theory-of-mind-055-step-53.png,55,53,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Screen showing prompt: Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.",instructions,True,index,52,6,instructions,instructions,,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks."
2025-07-02T04-13-18-theory-of-mind-056-step-54.png,56,54,Does Sam know that Maria bought some socks?,Does Sam know that Maria bought some socks?,test_response,True,index,53,6,test_response,false_belief_question,tom_second_order_false_belief_1,Does Sam know that Maria bought some socks?
2025-07-02T04-13-18-theory-of-mind-057-step-55.png,57,55,What does Sam think they are selling at the shop?,What does Sam think they are selling at the shop?,test_response,True,index,54,6,test_response,false_belief_question,tom_second_order_false_belief_2,What does Sam think they are selling at the shop?
2025-07-02T04-13-18-theory-of-mind-058-step-56.png,58,56,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.” “That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”","On her way back, Maria meets her dad. She tells her dad: ""I have just bought some socks. I am going to share them with my brother Sam. It is a surprise. ""That is nice of you, "" says Dad. Then he asks Maria: ""Does Sam know what you bought him?",instructions,True,index,55,6,instructions,instructions,,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.” “That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”"
2025-07-02T04-13-18-theory-of-mind-059-step-57.png,59,57,What does Maria tell dad?,What does Maria tell Dad?,test_response,True,index,56,6,test_response,false_belief_question,tom_second_order_false_belief_1,What does Maria tell dad?
2025-07-02T04-13-18-theory-of-mind-060-step-58.png,60,58,Then dad asks: “What does Sam think they are selling at the shop?”,Then Dad asks: 'What does Sam think they are selling at the shop?',instructions,True,index,57,6,instructions,instructions,,Then dad asks: “What does Sam think they are selling at the shop?”
2025-07-02T04-13-18-theory-of-mind-061-step-59.png,61,59,What does Maria tell dad?,What does Maria tell Dad?,test_response,True,index,58,6,test_response,false_belief_question,tom_second_order_false_belief_2,What does Maria tell dad?
2025-07-02T04-13-18-theory-of-mind-062-step-60.png,62,60,What does Sam think they are selling at the shop?,What does Sam think they are selling at the shop?,test_response,True,index,59,6,test_response,false_belief_question,tom_second_order_false_belief_3,What does Sam think they are selling at the shop?
2025-07-02T04-13-18-theory-of-mind-063-step-61.png,63,61,Sam is very happy to get his new socks.,Sam is very happy to get his new socks.,instructions,True,index,60,6,instructions,instructions,,Sam is very happy to get his new socks.
2025-07-02T04-13-18-theory-of-mind-064-step-62.png,64,62,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,61,7,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-065-step-63.png,65,63,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagine that you are walking to school and you're wearing your new shoes. You really like your new shoes. You're wearing your new shoes and this is the first day you have worn them.,instructions,True,index,62,7,instructions,instructions,,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.
2025-07-02T04-13-18-theory-of-mind-066-step-64.png,66,64,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",instructions,True,index,63,7,instructions,instructions,,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy."
2025-07-02T04-13-18-theory-of-mind-067-step-65.png,67,65,Do you think that the boy bumped you on purpose or by accident?,Do you think that the boy bumped you on purpose or by accident?,test_response,True,index,64,7,test_response,attribution_question,ha_bump_attribution,Do you think that the boy bumped you on purpose or by accident?
2025-07-02T04-13-18-theory-of-mind-068-step-66.png,68,66,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do: Now pick one of the three choices as the one you would do: Now pick one of the three choices as the one you would do: Now pick one of the three choices as the one you would do: Now pick one of the three choices as the one you would do:,test_response,True,index,65,7,test_response,action_question,ha_bump_action,Now pick one of the three choices as the one you would do:
2025-07-02T04-13-18-theory-of-mind-069-step-67.png,69,67,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,66,8,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-070-step-68.png,70,68,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.",instructions,True,index,67,8,instructions,instructions,,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball."
2025-07-02T04-13-18-theory-of-mind-071-step-69.png,71,69,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",instructions,True,index,68,8,instructions,instructions,,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race."
2025-07-02T04-13-18-theory-of-mind-072-step-70.png,72,70,Do you think that the boy made you fall on purpose or by accident?,Do you think that the boy made you fall on purpose or by accident?,test_response,True,index,69,8,test_response,attribution_question,ha_bounce_attribution,Do you think that the boy made you fall on purpose or by accident?
2025-07-02T04-13-18-theory-of-mind-073-step-71.png,73,71,Now pick one of the three choices as the one you would do:,"Now pick one of the three choices as the one you would do: #1 & #2 & #3. Pick the one that makes the most sense. If you don't know, just say 'I don't know'. If you don't know, say 'I don't know'. If you don't know, say 'I don't know'. If you don't know, say 'I don't know'. If you don't know, say 'I",test_response,True,index,70,8,test_response,action_question,ha_bounce_action,Now pick one of the three choices as the one you would do:
2025-07-02T04-13-18-theory-of-mind-074-step-72.png,74,72,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,71,9,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-075-step-73.png,75,73,Imagine that you are working on an assignment at your desk.,Imagine that you are working on an assignment at your desk.,instructions,True,index,72,9,instructions,instructions,,Imagine that you are working on an assignment at your desk.
2025-07-02T04-13-18-theory-of-mind-076-step-74.png,76,74,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there.","You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there.",instructions,True,index,73,9,instructions,instructions,,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there."
2025-07-02T04-13-18-theory-of-mind-077-step-75.png,77,75,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.",instructions,True,index,74,9,instructions,instructions,,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor."
2025-07-02T04-13-18-theory-of-mind-078-step-76.png,78,76,Do you think the boy knocked your papers onto the floor on purpose or by accident?,Do you think the boy knocked your papers onto the floor on purpose or by accident?,test_response,True,index,75,9,test_response,attribution_question,ha_knock_attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?
2025-07-02T04-13-18-theory-of-mind-079-step-77.png,79,77,Now pick one of the three choices as the one you would do:,"Now pick one of the three choices as the one you would do:"" ""Now pick one of the three choices as the one you would do:"" ""Now pick one of the three choices as the one you would do:"" ""Now pick one of the three choices as the one you would do:"" ""Now pick one of the three choices as the one you wo",test_response,True,index,76,9,test_response,action_question,ha_knock_action,Now pick one of the three choices as the one you would do:
2025-07-02T04-13-18-theory-of-mind-080-task-completed.png,80,completed,,,unknown,False,none,,,,,,
