prompt_row_index,item_uid,item,source_image,prompt_aligned_image,trial_type,prompt
11,tom_interpretation_false_belief,3d,data/assets/2026-03-24/visual/theory-of-mind/3d.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/011__tom_interpretation_false_belief.webp,false_belief_question,"When Isabel and Ivan see this clue, where will they look first for Joshua?"
12,tom_interpretation_reality_check_2,3d,data/assets/2026-03-24/visual/theory-of-mind/3d.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/012__tom_interpretation_reality_check_2.webp,reality_check_question,Can you help them find where Joshua really is?
13,tom_interpretation_emotion_reasoning,3e,data/assets/2026-03-24/visual/theory-of-mind/3e.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/013__tom_interpretation_emotion_reasoning.webp,emotion_reasoning_question,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?"
14,tom_deception_emotion_reasoning_1,4b_new2,data/assets/2026-03-24/visual/theory-of-mind/4b_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/014__tom_deception_emotion_reasoning_1.webp,emotion_reasoning_question,How does Joshua feel about losing his truck?
15,tom_deception_emotion_reasoning_2,4b_new2,data/assets/2026-03-24/visual/theory-of-mind/4b_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/015__tom_deception_emotion_reasoning_2.webp,emotion_reasoning_question,How would Joshua feel if he found his truck?
16,tom_deception_false_belief_1,4c_new3,data/assets/2026-03-24/visual/theory-of-mind/4c_new3.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/016__tom_deception_false_belief_1.webp,false_belief_question,Is it fair that Mother is mad at Joshua for losing his truck?
17,tom_deception_false_belief_2,4c_new3,data/assets/2026-03-24/visual/theory-of-mind/4c_new3.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/017__tom_deception_false_belief_2.webp,false_belief_question,Is Mother mad at Isabel?
18,tom_deception_false_belief_3,4c_new3,data/assets/2026-03-24/visual/theory-of-mind/4c_new3.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/018__tom_deception_false_belief_3.webp,false_belief_question,Is Joshua mad at Isabel?
19,tom_deception_reality_check_1,4g,data/assets/2026-03-24/visual/theory-of-mind/4g.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/019__tom_deception_reality_check_1.webp,reality_check_question,Is Mother mad at Joshua now?
20,tom_deception_reality_check_2,4g,data/assets/2026-03-24/visual/theory-of-mind/4g.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/020__tom_deception_reality_check_2.webp,reality_check_question,Is Mother mad at Isabel now?
21,tom_deception_reality_check_3,4g,data/assets/2026-03-24/visual/theory-of-mind/4g.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/021__tom_deception_reality_check_3.webp,reality_check_question,Is Joshua mad at Isabel now?
22,tom_reference_reference,5c_new6,data/assets/2026-03-24/visual/theory-of-mind/5c_new6.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/022__tom_reference_reference.webp,reference_question,Which cup will Dad give Katie?
23,tom_reference_reality_check,5c_new6,data/assets/2026-03-24/visual/theory-of-mind/5c_new6.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/023__tom_reference_reality_check.webp,reality_check_question,Which cup does Katie want?
24,tom_reference_emotion_reasoning_1,5d,data/assets/2026-03-24/visual/theory-of-mind/5d.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/024__tom_reference_emotion_reasoning_1.webp,emotion_reasoning_question,How does Katie feel about not getting the cup she wanted?
25,tom_reference_emotion_reasoning_2,5d,data/assets/2026-03-24/visual/theory-of-mind/5d.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/025__tom_reference_emotion_reasoning_2.webp,emotion_reasoning_question,How would Katie feel if she had received the cup she wanted?
26,tom_second_order_reality_check,6b_new2,data/assets/2026-03-24/visual/theory-of-mind/6b_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/026__tom_second_order_reality_check.webp,reality_check_question,Does Maria know that they are selling shoes in the shop?
27,tom_second_order_false_belief_1,6c_new2,data/assets/2026-03-24/visual/theory-of-mind/6c_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/027__tom_second_order_false_belief_1.webp,false_belief_question,Does Sam know that Maria bought some socks?
28,tom_second_order_false_belief_2,6c_new2,data/assets/2026-03-24/visual/theory-of-mind/6c_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/028__tom_second_order_false_belief_2.webp,false_belief_question,What does Sam think they are selling at the shop?
29,tom_second_order_false_belief_1,6d_new2,data/assets/2026-03-24/visual/theory-of-mind/6d_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/029__tom_second_order_false_belief_1.webp,false_belief_question,What does Maria tell dad?
30,tom_second_order_false_belief_2,6d_new2,data/assets/2026-03-24/visual/theory-of-mind/6d_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/030__tom_second_order_false_belief_2.webp,false_belief_question,What does Maria tell dad?
31,tom_second_order_false_belief_3,6d_new2,data/assets/2026-03-24/visual/theory-of-mind/6d_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/031__tom_second_order_false_belief_3.webp,false_belief_question,What does Sam think they are selling at the shop?
32,ha_bump_attribution,hostile-attribution-1b,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-1b.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/032__ha_bump_attribution.webp,attribution_question,Do you think that the boy bumped you on purpose or by accident?
33,ha_bump_action,hostile-attribution-1b,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-1b.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/033__ha_bump_action.webp,action_question,Now pick one of the three choices as the one you would do:
34,ha_bounce_attribution,hostile-attribution-2b,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-2b.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/034__ha_bounce_attribution.webp,attribution_question,Do you think that the boy made you fall on purpose or by accident?
35,ha_bounce_action,hostile-attribution-2b,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-2b.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/035__ha_bounce_action.webp,action_question,Now pick one of the three choices as the one you would do:
36,ha_knock_attribution,hostile-attribution-3c,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-3c.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/036__ha_knock_attribution.webp,attribution_question,Do you think the boy knocked your papers onto the floor on purpose or by accident?
37,ha_knock_action,hostile-attribution-3c,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-3c.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/037__ha_knock_action.webp,action_question,Now pick one of the three choices as the one you would do:
