item_uid,task,language,prompt_phrase,full_prompt
synthetic_vocab__anchor,synthetic-vocab,en,anchor,Which picture shows anchor?
synthetic_vocab__anchor,synthetic-vocab,de,anchor,Welches Bild zeigt anchor?
synthetic_vocab__anchor,synthetic-vocab,es,anchor,Que imagen muestra anchor?
synthetic_vocab__punch,synthetic-vocab,en,punch,Which picture shows punch?
synthetic_vocab__punch,synthetic-vocab,de,punch,Welches Bild zeigt punch?
synthetic_vocab__punch,synthetic-vocab,es,punch,Que imagen muestra punch?
synthetic_vocab__peacock,synthetic-vocab,en,peacock,Which picture shows peacock?
synthetic_vocab__peacock,synthetic-vocab,de,peacock,Welches Bild zeigt peacock?
synthetic_vocab__peacock,synthetic-vocab,es,peacock,Que imagen muestra peacock?
synthetic_vocab__stapler,synthetic-vocab,en,stapler,Which picture shows stapler?
synthetic_vocab__stapler,synthetic-vocab,de,stapler,Welches Bild zeigt stapler?
synthetic_vocab__stapler,synthetic-vocab,es,stapler,Que imagen muestra stapler?
synthetic_vocab__camera,synthetic-vocab,en,camera,Which picture shows camera?
synthetic_vocab__camera,synthetic-vocab,de,camera,Welches Bild zeigt camera?
synthetic_vocab__camera,synthetic-vocab,es,camera,Que imagen muestra camera?
synthetic_vocab__onion,synthetic-vocab,en,onion,Which picture shows onion?
synthetic_vocab__onion,synthetic-vocab,de,onion,Welches Bild zeigt onion?
synthetic_vocab__onion,synthetic-vocab,es,onion,Que imagen muestra onion?
synthetic_vocab__mailbox,synthetic-vocab,en,mailbox,Which picture shows mailbox?
synthetic_vocab__mailbox,synthetic-vocab,de,mailbox,Welches Bild zeigt mailbox?
synthetic_vocab__mailbox,synthetic-vocab,es,mailbox,Que imagen muestra mailbox?
synthetic_vocab__cauliflower,synthetic-vocab,en,cauliflower,Which picture shows cauliflower?
synthetic_vocab__cauliflower,synthetic-vocab,de,cauliflower,Welches Bild zeigt cauliflower?
synthetic_vocab__cauliflower,synthetic-vocab,es,cauliflower,Que imagen muestra cauliflower?
synthetic_vocab__card,synthetic-vocab,en,card,Which picture shows card?
synthetic_vocab__card,synthetic-vocab,de,card,Welches Bild zeigt card?
synthetic_vocab__card,synthetic-vocab,es,card,Que imagen muestra card?
synthetic_vocab__owl,synthetic-vocab,en,owl,Which picture shows owl?
synthetic_vocab__owl,synthetic-vocab,de,owl,Welches Bild zeigt owl?
synthetic_vocab__owl,synthetic-vocab,es,owl,Que imagen muestra owl?
synthetic_vocab__cactus,synthetic-vocab,en,cactus,Which picture shows cactus?
synthetic_vocab__cactus,synthetic-vocab,de,cactus,Welches Bild zeigt cactus?
synthetic_vocab__cactus,synthetic-vocab,es,cactus,Que imagen muestra cactus?
synthetic_vocab__hanger,synthetic-vocab,en,hanger,Which picture shows hanger?
synthetic_vocab__hanger,synthetic-vocab,de,hanger,Welches Bild zeigt hanger?
synthetic_vocab__hanger,synthetic-vocab,es,hanger,Que imagen muestra hanger?
synthetic_vocab__binoculars,synthetic-vocab,en,binoculars,Which picture shows binoculars?
synthetic_vocab__binoculars,synthetic-vocab,de,binoculars,Welches Bild zeigt binoculars?
synthetic_vocab__binoculars,synthetic-vocab,es,binoculars,Que imagen muestra binoculars?
synthetic_vocab__iron,synthetic-vocab,en,iron,Which picture shows iron?
synthetic_vocab__iron,synthetic-vocab,de,iron,Welches Bild zeigt iron?
synthetic_vocab__iron,synthetic-vocab,es,iron,Que imagen muestra iron?
synthetic_vocab__taco,synthetic-vocab,en,taco,Which picture shows taco?
synthetic_vocab__taco,synthetic-vocab,de,taco,Welches Bild zeigt taco?
synthetic_vocab__taco,synthetic-vocab,es,taco,Que imagen muestra taco?
synthetic_vocab__tongs,synthetic-vocab,en,tongs,Which picture shows tongs?
synthetic_vocab__tongs,synthetic-vocab,de,tongs,Welches Bild zeigt tongs?
synthetic_vocab__tongs,synthetic-vocab,es,tongs,Que imagen muestra tongs?
synthetic_vocab__crown,synthetic-vocab,en,crown,Which picture shows crown?
synthetic_vocab__crown,synthetic-vocab,de,crown,Welches Bild zeigt crown?
synthetic_vocab__crown,synthetic-vocab,es,crown,Que imagen muestra crown?
synthetic_vocab__wrench,synthetic-vocab,en,wrench,Which picture shows wrench?
synthetic_vocab__wrench,synthetic-vocab,de,wrench,Welches Bild zeigt wrench?
synthetic_vocab__wrench,synthetic-vocab,es,wrench,Que imagen muestra wrench?
synthetic_vocab__bowtie,synthetic-vocab,en,bowtie,Which picture shows bowtie?
synthetic_vocab__bowtie,synthetic-vocab,de,bowtie,Welches Bild zeigt bowtie?
synthetic_vocab__bowtie,synthetic-vocab,es,bowtie,Que imagen muestra bowtie?
synthetic_vocab__calculator,synthetic-vocab,en,calculator,Which picture shows calculator?
synthetic_vocab__calculator,synthetic-vocab,de,calculator,Welches Bild zeigt calculator?
synthetic_vocab__calculator,synthetic-vocab,es,calculator,Que imagen muestra calculator?
synthetic_vocab__accordion,synthetic-vocab,en,accordion,Which picture shows accordion?
synthetic_vocab__accordion,synthetic-vocab,de,accordion,Welches Bild zeigt accordion?
synthetic_vocab__accordion,synthetic-vocab,es,accordion,Que imagen muestra accordion?
synthetic_vocab__chandelier,synthetic-vocab,en,chandelier,Which picture shows chandelier?
synthetic_vocab__chandelier,synthetic-vocab,de,chandelier,Welches Bild zeigt chandelier?
synthetic_vocab__chandelier,synthetic-vocab,es,chandelier,Que imagen muestra chandelier?
synthetic_vocab__microscope,synthetic-vocab,en,microscope,Which picture shows microscope?
synthetic_vocab__microscope,synthetic-vocab,de,microscope,Welches Bild zeigt microscope?
synthetic_vocab__microscope,synthetic-vocab,es,microscope,Que imagen muestra microscope?
synthetic_vocab__avocado,synthetic-vocab,en,avocado,Which picture shows avocado?
synthetic_vocab__avocado,synthetic-vocab,de,avocado,Welches Bild zeigt avocado?
synthetic_vocab__avocado,synthetic-vocab,es,avocado,Que imagen muestra avocado?
synthetic_vocab__clipper,synthetic-vocab,en,clipper,Which picture shows clipper?
synthetic_vocab__clipper,synthetic-vocab,de,clipper,Welches Bild zeigt clipper?
synthetic_vocab__clipper,synthetic-vocab,es,clipper,Que imagen muestra clipper?
synthetic_vocab__plunger,synthetic-vocab,en,plunger,Which picture shows plunger?
synthetic_vocab__plunger,synthetic-vocab,de,plunger,Welches Bild zeigt plunger?
synthetic_vocab__plunger,synthetic-vocab,es,plunger,Que imagen muestra plunger?
synthetic_vocab__croissant,synthetic-vocab,en,croissant,Which picture shows croissant?
synthetic_vocab__croissant,synthetic-vocab,de,croissant,Welches Bild zeigt croissant?
synthetic_vocab__croissant,synthetic-vocab,es,croissant,Que imagen muestra croissant?
synthetic_vocab__inhaler,synthetic-vocab,en,inhaler,Which picture shows inhaler?
synthetic_vocab__inhaler,synthetic-vocab,de,inhaler,Welches Bild zeigt inhaler?
synthetic_vocab__inhaler,synthetic-vocab,es,inhaler,Que imagen muestra inhaler?
synthetic_vocab__toilet,synthetic-vocab,en,toilet,Which picture shows toilet?
synthetic_vocab__toilet,synthetic-vocab,de,toilet,Welches Bild zeigt toilet?
synthetic_vocab__toilet,synthetic-vocab,es,toilet,Que imagen muestra toilet?
synthetic_vocab__bear,synthetic-vocab,en,bear,Which picture shows bear?
synthetic_vocab__bear,synthetic-vocab,de,bear,Welches Bild zeigt bear?
synthetic_vocab__bear,synthetic-vocab,es,bear,Que imagen muestra bear?
synthetic_vocab__book,synthetic-vocab,en,book,Which picture shows book?
synthetic_vocab__book,synthetic-vocab,de,book,Welches Bild zeigt book?
synthetic_vocab__book,synthetic-vocab,es,book,Que imagen muestra book?
synthetic_vocab__egg,synthetic-vocab,en,egg,Which picture shows egg?
synthetic_vocab__egg,synthetic-vocab,de,egg,Welches Bild zeigt egg?
synthetic_vocab__egg,synthetic-vocab,es,egg,Que imagen muestra egg?
synthetic_vocab__pencil,synthetic-vocab,en,pencil,Which picture shows pencil?
synthetic_vocab__pencil,synthetic-vocab,de,pencil,Welches Bild zeigt pencil?
synthetic_vocab__pencil,synthetic-vocab,es,pencil,Que imagen muestra pencil?
synthetic_vocab__bench,synthetic-vocab,en,bench,Which picture shows bench?
synthetic_vocab__bench,synthetic-vocab,de,bench,Welches Bild zeigt bench?
synthetic_vocab__bench,synthetic-vocab,es,bench,Que imagen muestra bench?
synthetic_vocab__watch,synthetic-vocab,en,watch,Which picture shows watch?
synthetic_vocab__watch,synthetic-vocab,de,watch,Welches Bild zeigt watch?
synthetic_vocab__watch,synthetic-vocab,es,watch,Que imagen muestra watch?
synthetic_vocab__wheel,synthetic-vocab,en,wheel,Which picture shows wheel?
synthetic_vocab__wheel,synthetic-vocab,de,wheel,Welches Bild zeigt wheel?
synthetic_vocab__wheel,synthetic-vocab,es,wheel,Que imagen muestra wheel?
synthetic_vocab__clock,synthetic-vocab,en,clock,Which picture shows clock?
synthetic_vocab__clock,synthetic-vocab,de,clock,Welches Bild zeigt clock?
synthetic_vocab__clock,synthetic-vocab,es,clock,Que imagen muestra clock?
synthetic_vocab__corn,synthetic-vocab,en,corn,Which picture shows corn?
synthetic_vocab__corn,synthetic-vocab,de,corn,Welches Bild zeigt corn?
synthetic_vocab__corn,synthetic-vocab,es,corn,Que imagen muestra corn?
synthetic_vocab__feather,synthetic-vocab,en,feather,Which picture shows feather?
synthetic_vocab__feather,synthetic-vocab,de,feather,Welches Bild zeigt feather?
synthetic_vocab__feather,synthetic-vocab,es,feather,Que imagen muestra feather?
synthetic_vocab__tie,synthetic-vocab,en,tie,Which picture shows tie?
synthetic_vocab__tie,synthetic-vocab,de,tie,Welches Bild zeigt tie?
synthetic_vocab__tie,synthetic-vocab,es,tie,Que imagen muestra tie?
synthetic_vocab__zebra,synthetic-vocab,en,zebra,Which picture shows zebra?
synthetic_vocab__zebra,synthetic-vocab,de,zebra,Welches Bild zeigt zebra?
synthetic_vocab__zebra,synthetic-vocab,es,zebra,Que imagen muestra zebra?
synthetic_vocab__bat,synthetic-vocab,en,bat,Which picture shows bat?
synthetic_vocab__bat,synthetic-vocab,de,bat,Welches Bild zeigt bat?
synthetic_vocab__bat,synthetic-vocab,es,bat,Que imagen muestra bat?
synthetic_vocab__pretzel,synthetic-vocab,en,pretzel,Which picture shows pretzel?
synthetic_vocab__pretzel,synthetic-vocab,de,pretzel,Welches Bild zeigt pretzel?
synthetic_vocab__pretzel,synthetic-vocab,es,pretzel,Que imagen muestra pretzel?
synthetic_vocab__snake,synthetic-vocab,en,snake,Which picture shows snake?
synthetic_vocab__snake,synthetic-vocab,de,snake,Welches Bild zeigt snake?
synthetic_vocab__snake,synthetic-vocab,es,snake,Que imagen muestra snake?
synthetic_vocab__guitar,synthetic-vocab,en,guitar,Which picture shows guitar?
synthetic_vocab__guitar,synthetic-vocab,de,guitar,Welches Bild zeigt guitar?
synthetic_vocab__guitar,synthetic-vocab,es,guitar,Que imagen muestra guitar?
synthetic_vocab__meatball,synthetic-vocab,en,meatball,Which picture shows meatball?
synthetic_vocab__meatball,synthetic-vocab,de,meatball,Welches Bild zeigt meatball?
synthetic_vocab__meatball,synthetic-vocab,es,meatball,Que imagen muestra meatball?
synthetic_vocab__dolphin,synthetic-vocab,en,dolphin,Which picture shows dolphin?
synthetic_vocab__dolphin,synthetic-vocab,de,dolphin,Welches Bild zeigt dolphin?
synthetic_vocab__dolphin,synthetic-vocab,es,dolphin,Que imagen muestra dolphin?
synthetic_vocab__ambulance,synthetic-vocab,en,ambulance,Which picture shows ambulance?
synthetic_vocab__ambulance,synthetic-vocab,de,ambulance,Welches Bild zeigt ambulance?
synthetic_vocab__ambulance,synthetic-vocab,es,ambulance,Que imagen muestra ambulance?
synthetic_vocab__stool,synthetic-vocab,en,stool,Which picture shows stool?
synthetic_vocab__stool,synthetic-vocab,de,stool,Welches Bild zeigt stool?
synthetic_vocab__stool,synthetic-vocab,es,stool,Que imagen muestra stool?
synthetic_vocab__blueberry,synthetic-vocab,en,blueberry,Which picture shows blueberry?
synthetic_vocab__blueberry,synthetic-vocab,de,blueberry,Welches Bild zeigt blueberry?
synthetic_vocab__blueberry,synthetic-vocab,es,blueberry,Que imagen muestra blueberry?
synthetic_vocab__fence,synthetic-vocab,en,fence,Which picture shows fence?
synthetic_vocab__fence,synthetic-vocab,de,fence,Welches Bild zeigt fence?
synthetic_vocab__fence,synthetic-vocab,es,fence,Que imagen muestra fence?
synthetic_vocab__timer,synthetic-vocab,en,timer,Which picture shows timer?
synthetic_vocab__timer,synthetic-vocab,de,timer,Welches Bild zeigt timer?
synthetic_vocab__timer,synthetic-vocab,es,timer,Que imagen muestra timer?
synthetic_vocab__swan,synthetic-vocab,en,swan,Which picture shows swan?
synthetic_vocab__swan,synthetic-vocab,de,swan,Welches Bild zeigt swan?
synthetic_vocab__swan,synthetic-vocab,es,swan,Que imagen muestra swan?
synthetic_vocab__brick,synthetic-vocab,en,brick,Which picture shows brick?
synthetic_vocab__brick,synthetic-vocab,de,brick,Welches Bild zeigt brick?
synthetic_vocab__brick,synthetic-vocab,es,brick,Que imagen muestra brick?
synthetic_vocab__mushroom,synthetic-vocab,en,mushroom,Which picture shows mushroom?
synthetic_vocab__mushroom,synthetic-vocab,de,mushroom,Welches Bild zeigt mushroom?
synthetic_vocab__mushroom,synthetic-vocab,es,mushroom,Que imagen muestra mushroom?
synthetic_vocab__globe,synthetic-vocab,en,globe,Which picture shows globe?
synthetic_vocab__globe,synthetic-vocab,de,globe,Welches Bild zeigt globe?
synthetic_vocab__globe,synthetic-vocab,es,globe,Que imagen muestra globe?
synthetic_vocab__scooter,synthetic-vocab,en,scooter,Which picture shows scooter?
synthetic_vocab__scooter,synthetic-vocab,de,scooter,Welches Bild zeigt scooter?
synthetic_vocab__scooter,synthetic-vocab,es,scooter,Que imagen muestra scooter?
synthetic_vocab__toaster,synthetic-vocab,en,toaster,Which picture shows toaster?
synthetic_vocab__toaster,synthetic-vocab,de,toaster,Welches Bild zeigt toaster?
synthetic_vocab__toaster,synthetic-vocab,es,toaster,Que imagen muestra toaster?
synthetic_vocab__marble,synthetic-vocab,en,marble,Which picture shows marble?
synthetic_vocab__marble,synthetic-vocab,de,marble,Welches Bild zeigt marble?
synthetic_vocab__marble,synthetic-vocab,es,marble,Que imagen muestra marble?
synthetic_vocab__extinguisher,synthetic-vocab,en,extinguisher,Which picture shows extinguisher?
synthetic_vocab__extinguisher,synthetic-vocab,de,extinguisher,Welches Bild zeigt extinguisher?
synthetic_vocab__extinguisher,synthetic-vocab,es,extinguisher,Que imagen muestra extinguisher?
synthetic_vocab__fireplace,synthetic-vocab,en,fireplace,Which picture shows fireplace?
synthetic_vocab__fireplace,synthetic-vocab,de,fireplace,Welches Bild zeigt fireplace?
synthetic_vocab__fireplace,synthetic-vocab,es,fireplace,Que imagen muestra fireplace?
synthetic_vocab__headrest,synthetic-vocab,en,headrest,Which picture shows headrest?
synthetic_vocab__headrest,synthetic-vocab,de,headrest,Welches Bild zeigt headrest?
synthetic_vocab__headrest,synthetic-vocab,es,headrest,Que imagen muestra headrest?
synthetic_vocab__scorpion,synthetic-vocab,en,scorpion,Which picture shows scorpion?
synthetic_vocab__scorpion,synthetic-vocab,de,scorpion,Welches Bild zeigt scorpion?
synthetic_vocab__scorpion,synthetic-vocab,es,scorpion,Que imagen muestra scorpion?
synthetic_vocab__torch,synthetic-vocab,en,torch,Which picture shows torch?
synthetic_vocab__torch,synthetic-vocab,de,torch,Welches Bild zeigt torch?
synthetic_vocab__torch,synthetic-vocab,es,torch,Que imagen muestra torch?
synthetic_vocab__makeup,synthetic-vocab,en,makeup,Which picture shows makeup?
synthetic_vocab__makeup,synthetic-vocab,de,makeup,Welches Bild zeigt makeup?
synthetic_vocab__makeup,synthetic-vocab,es,makeup,Que imagen muestra makeup?
synthetic_vocab__banjo,synthetic-vocab,en,banjo,Which picture shows banjo?
synthetic_vocab__banjo,synthetic-vocab,de,banjo,Welches Bild zeigt banjo?
synthetic_vocab__banjo,synthetic-vocab,es,banjo,Que imagen muestra banjo?
synthetic_vocab__compass,synthetic-vocab,en,compass,Which picture shows compass?
synthetic_vocab__compass,synthetic-vocab,de,compass,Welches Bild zeigt compass?
synthetic_vocab__compass,synthetic-vocab,es,compass,Que imagen muestra compass?
synthetic_vocab__funnel,synthetic-vocab,en,funnel,Which picture shows funnel?
synthetic_vocab__funnel,synthetic-vocab,de,funnel,Welches Bild zeigt funnel?
synthetic_vocab__funnel,synthetic-vocab,es,funnel,Que imagen muestra funnel?
synthetic_vocab__sling,synthetic-vocab,en,sling,Which picture shows sling?
synthetic_vocab__sling,synthetic-vocab,de,sling,Welches Bild zeigt sling?
synthetic_vocab__sling,synthetic-vocab,es,sling,Que imagen muestra sling?
synthetic_vocab__whisk,synthetic-vocab,en,whisk,Which picture shows whisk?
synthetic_vocab__whisk,synthetic-vocab,de,whisk,Welches Bild zeigt whisk?
synthetic_vocab__whisk,synthetic-vocab,es,whisk,Que imagen muestra whisk?
synthetic_vocab__shredder,synthetic-vocab,en,shredder,Which picture shows shredder?
synthetic_vocab__shredder,synthetic-vocab,de,shredder,Welches Bild zeigt shredder?
synthetic_vocab__shredder,synthetic-vocab,es,shredder,Que imagen muestra shredder?
synthetic_vocab__saxophone,synthetic-vocab,en,saxophone,Which picture shows saxophone?
synthetic_vocab__saxophone,synthetic-vocab,de,saxophone,Welches Bild zeigt saxophone?
synthetic_vocab__saxophone,synthetic-vocab,es,saxophone,Que imagen muestra saxophone?
synthetic_vocab__keyboard,synthetic-vocab,en,keyboard,Which picture shows keyboard?
synthetic_vocab__keyboard,synthetic-vocab,de,keyboard,Welches Bild zeigt keyboard?
synthetic_vocab__keyboard,synthetic-vocab,es,keyboard,Que imagen muestra keyboard?
synthetic_vocab__spur,synthetic-vocab,en,spur,Which picture shows spur?
synthetic_vocab__spur,synthetic-vocab,de,spur,Welches Bild zeigt spur?
synthetic_vocab__spur,synthetic-vocab,es,spur,Que imagen muestra spur?
synthetic_vocab__gong,synthetic-vocab,en,gong,Which picture shows gong?
synthetic_vocab__gong,synthetic-vocab,de,gong,Welches Bild zeigt gong?
synthetic_vocab__gong,synthetic-vocab,es,gong,Que imagen muestra gong?
synthetic_vocab__boomerang,synthetic-vocab,en,boomerang,Which picture shows boomerang?
synthetic_vocab__boomerang,synthetic-vocab,de,boomerang,Welches Bild zeigt boomerang?
synthetic_vocab__boomerang,synthetic-vocab,es,boomerang,Que imagen muestra boomerang?
synthetic_vocab__ladle,synthetic-vocab,en,ladle,Which picture shows ladle?
synthetic_vocab__ladle,synthetic-vocab,de,ladle,Welches Bild zeigt ladle?
synthetic_vocab__ladle,synthetic-vocab,es,ladle,Que imagen muestra ladle?
synthetic_vocab__flask,synthetic-vocab,en,flask,Which picture shows flask?
synthetic_vocab__flask,synthetic-vocab,de,flask,Welches Bild zeigt flask?
synthetic_vocab__flask,synthetic-vocab,es,flask,Que imagen muestra flask?
