source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
ToM-battery,3,ToM-scene3-instruct2,3a_1,,instructions,,,instructions,ToM-scene3-instruct2,,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.",18,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,3a_1.webp
ToM-battery,3,ToM-scene3-instruct3,3c_nopicture,,instructions,,,instructions,ToM-scene3-instruct3,,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",19,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,3c_nopicture.webp
ToM-battery,3,ToM-scene3-instruct4,3c,,instructions,,,instructions,ToM-scene3-instruct4,,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.",20,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,3c.webp
ToM-battery,3,ToM-scene3-q1,3d,fountain,reality_check_question,tree,0.5,test_response,ToM-scene3-q1,,What did Joshua mean to draw?,21,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_interpretation_reality_check_1,at_block_level,,,,,3d.webp
ToM-battery,3,ToM-scene3-q2-false_belief,3d,behind-tree,false_belief_question,behind-fountain,0.5,test_response,ToM-scene3-q2-false_belief,,"When Isabel and Ivan see this clue, where will they look first for Joshua?",22,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_interpretation_false_belief,at_block_level,,,,,3d.webp
ToM-battery,3,ToM-scene3-q2-reality_check,3d,behind-fountain,reality_check_question,behind-tree,0.5,test_response,ToM-scene3-q2-reality_check,,Can you help them find where Joshua really is?,23,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_interpretation_reality_check_2,at_block_level,,,,,3d.webp
ToM-battery,3,ToM-scene3-q3-emotion_reasoning,3e,proud,emotion_reasoning_question,"surprised,sad,scared",0.25,test_response,ToM-scene3-q3-emotion_reasoning,,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",24,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_interpretation_emotion_reasoning,yes,,,,,3e.webp
ToM-battery,4,ToM-scene4-instruct1,4a,,instructions,,,instructions,ToM-scene4-instruct1,,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys.",25,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,4a.webp
ToM-battery,4,ToM-scene4-instruct2,4b_new2,,instructions,,,instructions,ToM-scene4-instruct2,,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it.",26,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,4b_new2.webp
ToM-battery,4,ToM-scene4-q1-emotion_reasoning,4b_new2,sad,emotion_reasoning_question,"happy,proud,disgusted",0.25,test_response,ToM-scene4-q1-emotion_reasoning,,How does Joshua feel about losing his truck?,27,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_emotion_reasoning_1,yes,,,,,4b_new2.webp
ToM-battery,4,ToM-scene4-q8-emotion_reasoning,4b_new2,happy,emotion_reasoning_question,"sad,scared,proud",0.25,test_response,ToM-scene4-q8-emotion_reasoning,,How would Joshua feel if he found his truck?,,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_emotion_reasoning_2,yes,,,,,4b_new2.webp
ToM-battery,4,ToM-scene4-instruct3,4c_1,,instructions,,,instructions,ToM-scene4-instruct3,,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox.",28,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,4c_1.webp
ToM-battery,4,ToM-scene4-instruct4,4c_2,,instructions,,,instructions,ToM-scene4-instruct4,,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.",29,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,4c_2.webp
ToM-battery,4,ToM-scene4-q2,4c_new3,no,false_belief_question,yes,0.5,test_response,ToM-scene4-q2,,Is it fair that Mother is mad at Joshua for losing his truck?,30,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_false_belief_1,no,,,,,4c_new3.webp
ToM-battery,4,ToM-scene4-q3,4c_new3,no,false_belief_question,yes,0.5,test_response,ToM-scene4-q3,,Is Mother mad at Isabel?,31,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_false_belief_2,no,,,,,4c_new3.webp
ToM-battery,4,ToM-scene4-q4-false_belief,4c_new3,no,false_belief_question,yes,0.5,test_response,ToM-scene4-q4-false_belief,,Is Joshua mad at Isabel?,32,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_false_belief_3,no,,,,,4c_new3.webp
ToM-battery,4,ToM-scene4-instruct5,4d,,instructions,,,instructions,ToM-scene4-instruct5,,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.",33,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,4d.webp
ToM-battery,4,ToM-scene4-q5,4g,no,reality_check_question,yes,0.5,test_response,ToM-scene4-q5,,Is Mother mad at Joshua now?,34,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_reality_check_1,no,,,,,4g.webp
ToM-battery,4,ToM-scene4-q6,4g,yes,reality_check_question,no,0.5,test_response,ToM-scene4-q6,,Is Mother mad at Isabel now?,35,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_reality_check_2,no,,,,,4g.webp
ToM-battery,4,ToM-scene4-q7,4g,yes,reality_check_question,no,0.5,test_response,ToM-scene4-q7,,Is Joshua mad at Isabel now?,36,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_deception_reality_check_3,no,,,,,4g.webp
ToM-battery,4,ToM-scene4-instruct6,4f_new2,,instructions,,,instructions,ToM-scene4-instruct6,,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.",37,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,4f_new2.webp
ToM-battery,5,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,5,ToM-scene5-instruct1,5b_new6,,instructions,,,instructions,ToM-scene5-instruct1,,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf.",38,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,5b_new6.webp
ToM-battery,5,ToM-scene5-instruct2,5c_new6,,instructions,,,instructions,ToM-scene5-instruct2,,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”",39,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,5c_new6.webp
ToM-battery,5,ToM-scene5-q1,5c_new6,medium_cup,reference_question,"small_cup,large_cup",0.33,test_response,ToM-scene5-q1,,Which cup will Dad give Katie?,40,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_reference_reference,at_block_level,,,,,5c_new6.webp
ToM-battery,5,ToM-scene5-q2-reality_check,5c_new6,large_cup,reality_check_question,"small_cup,medium_cup",0.33,test_response,ToM-scene5-q2-reality_check,,Which cup does Katie want?,41,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_reference_reality_check,at_block_level,,,,,5c_new6.webp
ToM-battery,5,ToM-scene5-q3-emotion_reasoning,5d,sad,emotion_reasoning_question,"proud,scared,happy",0.25,test_response,ToM-scene5-q3-emotion_reasoning,,How does Katie feel about not getting the cup she wanted?,,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_reference_emotion_reasoning_1,yes,,,,,5d.webp
ToM-battery,5,ToM-scene5-q4-emotion_reasoning,5d,happy,emotion_reasoning_question,"sad,scared,proud",0.25,test_response,ToM-scene5-q4-emotion_reasoning,,How would Katie feel if she had received the cup she wanted?,,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_reference_emotion_reasoning_2,yes,,,,,5d.webp
ToM-battery,6,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,6,ToM-scene6-instruct1,6a_new2,,instructions,,,instructions,ToM-scene6-instruct1,,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.",42,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,6a_new2.webp
ToM-battery,6,ToM-scene6-instruct2,6b_new2,,instructions,,,instructions,ToM-scene6-instruct2,,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.",43,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,6b_new2.webp
ToM-battery,6,ToM-scene6-q1,6b_new2,no,reality_check_question,yes,0.5,test_response,ToM-scene6-q1,,Does Maria know that they are selling shoes in the shop?,44,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_second_order_reality_check,no,,,,,6b_new2.webp
ToM-battery,6,ToM-scene6-instruct3,6c_new2,,instructions,,,instructions,ToM-scene6-instruct3,,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.",45,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,6c_new2.webp
ToM-battery,6,ToM-scene6-q2,6c_new2,no,false_belief_question,yes,0.5,test_response,ToM-scene6-q2,,Does Sam know that Maria bought some socks?,46,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_second_order_false_belief_1,no,,,,,6c_new2.webp
ToM-battery,6,ToM-scene6-q3,6c_new2,shoes,false_belief_question,"shirts,socks",0.33,test_response,ToM-scene6-q3,,What does Sam think they are selling at the shop?,47,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_second_order_false_belief_2,at_block_level,,,,,6c_new2.webp
ToM-battery,6,ToM-scene6-instruct4,6d_new2,,instructions,,,instructions,ToM-scene6-instruct4,,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.” “That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”",48,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,6d_new2.webp
ToM-battery,6,ToM-scene6-q4,6d_new2,no,false_belief_question,yes,0.5,test_response,ToM-scene6-q4,,What does Maria tell dad?,49,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_second_order_false_belief_1,no,,,,,6d_new2.webp
ToM-battery,6,ToM-scene6-instruct5,6d_new2,,instructions,,,instructions,ToM-scene6-instruct5,,Then dad asks: “What does Sam think they are selling at the shop?”,50,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,6d_new2.webp
ToM-battery,6,ToM-scene6-q5,6d_new2,shirts,false_belief_question,"shoes,socks",0.33,test_response,ToM-scene6-q5,,What does Maria tell dad?,51,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_second_order_false_belief_2,at_block_level,,,,,6d_new2.webp
ToM-battery,6,ToM-scene6-q6,6d_new2,shoes,false_belief_question,"shirts,socks",0.33,test_response,ToM-scene6-q6,,What does Sam think they are selling at the shop?,52,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_second_order_false_belief_3,at_block_level,,,,,6d_new2.webp
ToM-battery,6,ToM-scene6-instruct6,6e_new,,instructions,,,instructions,ToM-scene6-instruct6,,Sam is very happy to get his new socks.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,6e_new.webp
ToM-battery,7,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,7,hostile-attribution-scene1-instruct1,hostile-attribution-1a,,instructions,,,instructions,hostile-attribution-scene1-instruct1,,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,53,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-1a.webp
ToM-battery,7,hostile-attribution-scene1-instruct2,hostile-attribution-1b,,instructions,,,instructions,hostile-attribution-scene1-instruct2,,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",54,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-1b.webp
ToM-battery,7,hostile-attribution-scene1-q1,hostile-attribution-1b,hostile-attribution-scene1-on-purpose,attribution_question,"hostile-attribution-scene1-by-accident,hostile-attribution-scene1-on-purpose",0.5,test_response,hostile-attribution-scene1-q1,,Do you think that the boy bumped you on purpose or by accident?,55,theory-of-mind,theory-of-mind-v2,theory-of-mind,ha_bump_attribution,at_block_level,,,,,hostile-attribution-1b.webp
ToM-battery,7,hostile-attribution-scene1-q2,hostile-attribution-1b,hostile-attribution-scene1-q2-ans3,action_question,"hostile-attribution-scene1-q2-ans1,hostile-attribution-scene1-q2-ans2,hostile-attribution-scene1-q2-ans3",0.33,test_response,hostile-attribution-scene1-q2,,Now pick one of the three choices as the one you would do:,56,theory-of-mind,theory-of-mind-v2,theory-of-mind,ha_bump_action,at_block_level,,,,,hostile-attribution-1b.webp
ToM-battery,8,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,8,hostile-attribution-scene2-instruct1,hostile-attribution-2a,,instructions,,,instructions,hostile-attribution-scene2-instruct1,,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.",57,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-2a.webp
ToM-battery,8,hostile-attribution-scene2-instruct2,hostile-attribution-2b,,instructions,,,instructions,hostile-attribution-scene2-instruct2,,"The next thing you know is that the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",58,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-2b.webp
ToM-battery,8,hostile-attribution-scene2-q1,hostile-attribution-2b,hostile-attribution-scene2-on-purpose,attribution_question,"hostile-attribution-scene2-by-accident,hostile-attribution-scene2-on-purpose",0.5,test_response,hostile-attribution-scene2-q1,,Do you think that the boy made you fall on purpose or by accident?,59,theory-of-mind,theory-of-mind-v2,theory-of-mind,ha_bounce_attribution,at_block_level,,,,,hostile-attribution-2b.webp
ToM-battery,8,hostile-attribution-scene1-q2,hostile-attribution-2b,hostile-attribution-scene2-q2-ans2,action_question,"hostile-attribution-scene2-q2-ans1,hostile-attribution-scene2-q2-ans2,hostile-attribution-scene2-q2-ans3",0.33,test_response,hostile-attribution-scene2-q2,,Now pick one of the three choices as the one you would do:,60,theory-of-mind,theory-of-mind-v2,theory-of-mind,ha_bounce_action,at_block_level,,,,,hostile-attribution-2b.webp
ToM-battery,9,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,9,hostile-attribution-scene3-instruct1,hostile-attribution-3a,,instructions,,,instructions,hostile-attribution-scene3-instruct1,,Imagine that you are working on an assignment at your desk.,61,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-3a.webp
ToM-battery,9,hostile-attribution-scene3-instruct2,hostile-attribution-3b,,instructions,,,instructions,hostile-attribution-scene3-instruct2,,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there.",62,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-3b.webp
ToM-battery,9,hostile-attribution-scene3-instruct3,hostile-attribution-3c,,instructions,,,instructions,hostile-attribution-scene3-instruct3,,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.",63,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,hostile-attribution-3c.webp
ToM-battery,9,hostile-attribution-scene3-q1,hostile-attribution-3c,hostile-attribution-scene3-on-purpose,attribution_question,"hostile-attribution-scene3-on-purpose,hostile-attribution-scene3-by-accident",0.5,test_response,hostile-attribution-scene3-q1,,Do you think the boy knocked your papers onto the floor on purpose or by accident?,64,theory-of-mind,theory-of-mind-v2,theory-of-mind,ha_knock_attribution,at_block_level,,,,,hostile-attribution-3c.webp
ToM-battery,9,hostile-attribution-scene1-q2,hostile-attribution-3c,hostile-attribution-scene3-q2-ans1,action_question,"hostile-attribution-scene3-q2-ans1,hostile-attribution-scene3-q2-ans2,hostile-attribution-scene3-q2-ans3",0.33,test_response,hostile-attribution-scene3-q2,,Now pick one of the three choices as the one you would do:,65,theory-of-mind,theory-of-mind-v2,theory-of-mind,ha_knock_action,at_block_level,,,,,hostile-attribution-3c.webp
