item_uid,task,language,prompt_phrase,full_prompt
synthetic_vocab__ear,synthetic-vocab,de,ear,Welches Bild zeigt ear?
synthetic_vocab__ear,synthetic-vocab,es,ear,Que imagen muestra ear?
synthetic_vocab__cat,synthetic-vocab,en,cat,Which picture shows cat?
synthetic_vocab__cat,synthetic-vocab,de,cat,Welches Bild zeigt cat?
synthetic_vocab__cat,synthetic-vocab,es,cat,Que imagen muestra cat?
synthetic_vocab__bubble,synthetic-vocab,en,bubble,Which picture shows bubble?
synthetic_vocab__bubble,synthetic-vocab,de,bubble,Welches Bild zeigt bubble?
synthetic_vocab__bubble,synthetic-vocab,es,bubble,Que imagen muestra bubble?
synthetic_vocab__egg,synthetic-vocab,en,egg,Which picture shows egg?
synthetic_vocab__egg,synthetic-vocab,de,egg,Welches Bild zeigt egg?
synthetic_vocab__egg,synthetic-vocab,es,egg,Que imagen muestra egg?
synthetic_vocab__worm,synthetic-vocab,en,worm,Which picture shows worm?
synthetic_vocab__worm,synthetic-vocab,de,worm,Welches Bild zeigt worm?
synthetic_vocab__worm,synthetic-vocab,es,worm,Que imagen muestra worm?
synthetic_vocab__tiger,synthetic-vocab,en,tiger,Which picture shows tiger?
synthetic_vocab__tiger,synthetic-vocab,de,tiger,Welches Bild zeigt tiger?
synthetic_vocab__tiger,synthetic-vocab,es,tiger,Que imagen muestra tiger?
synthetic_vocab__lamp,synthetic-vocab,en,lamp,Which picture shows lamp?
synthetic_vocab__lamp,synthetic-vocab,de,lamp,Welches Bild zeigt lamp?
synthetic_vocab__lamp,synthetic-vocab,es,lamp,Que imagen muestra lamp?
synthetic_vocab__phone,synthetic-vocab,en,phone,Which picture shows phone?
synthetic_vocab__phone,synthetic-vocab,de,phone,Welches Bild zeigt phone?
synthetic_vocab__phone,synthetic-vocab,es,phone,Que imagen muestra phone?
synthetic_vocab__apple,synthetic-vocab,en,apple,Which picture shows apple?
synthetic_vocab__apple,synthetic-vocab,de,apple,Welches Bild zeigt apple?
synthetic_vocab__apple,synthetic-vocab,es,apple,Que imagen muestra apple?
synthetic_vocab__horse,synthetic-vocab,en,horse,Which picture shows horse?
synthetic_vocab__horse,synthetic-vocab,de,horse,Welches Bild zeigt horse?
synthetic_vocab__horse,synthetic-vocab,es,horse,Que imagen muestra horse?
synthetic_vocab__strawberry,synthetic-vocab,en,strawberry,Which picture shows strawberry?
synthetic_vocab__strawberry,synthetic-vocab,de,strawberry,Welches Bild zeigt strawberry?
synthetic_vocab__strawberry,synthetic-vocab,es,strawberry,Que imagen muestra strawberry?
synthetic_vocab__bowl,synthetic-vocab,en,bowl,Which picture shows bowl?
synthetic_vocab__bowl,synthetic-vocab,de,bowl,Welches Bild zeigt bowl?
synthetic_vocab__bowl,synthetic-vocab,es,bowl,Que imagen muestra bowl?
synthetic_vocab__pancake,synthetic-vocab,en,pancake,Which picture shows pancake?
synthetic_vocab__pancake,synthetic-vocab,de,pancake,Welches Bild zeigt pancake?
synthetic_vocab__pancake,synthetic-vocab,es,pancake,Que imagen muestra pancake?
synthetic_vocab__balloon,synthetic-vocab,en,balloon,Which picture shows balloon?
synthetic_vocab__balloon,synthetic-vocab,de,balloon,Welches Bild zeigt balloon?
synthetic_vocab__balloon,synthetic-vocab,es,balloon,Que imagen muestra balloon?
synthetic_vocab__wheel,synthetic-vocab,en,wheel,Which picture shows wheel?
synthetic_vocab__wheel,synthetic-vocab,de,wheel,Welches Bild zeigt wheel?
synthetic_vocab__wheel,synthetic-vocab,es,wheel,Que imagen muestra wheel?
synthetic_vocab__tape,synthetic-vocab,en,tape,Which picture shows tape?
synthetic_vocab__tape,synthetic-vocab,de,tape,Welches Bild zeigt tape?
synthetic_vocab__tape,synthetic-vocab,es,tape,Que imagen muestra tape?
synthetic_vocab__lion,synthetic-vocab,en,lion,Which picture shows lion?
synthetic_vocab__lion,synthetic-vocab,de,lion,Welches Bild zeigt lion?
synthetic_vocab__lion,synthetic-vocab,es,lion,Que imagen muestra lion?
synthetic_vocab__clock,synthetic-vocab,en,clock,Which picture shows clock?
synthetic_vocab__clock,synthetic-vocab,de,clock,Welches Bild zeigt clock?
synthetic_vocab__clock,synthetic-vocab,es,clock,Que imagen muestra clock?
synthetic_vocab__chalk,synthetic-vocab,en,chalk,Which picture shows chalk?
synthetic_vocab__chalk,synthetic-vocab,de,chalk,Welches Bild zeigt chalk?
synthetic_vocab__chalk,synthetic-vocab,es,chalk,Que imagen muestra chalk?
synthetic_vocab__leaf,synthetic-vocab,en,leaf,Which picture shows leaf?
synthetic_vocab__leaf,synthetic-vocab,de,leaf,Welches Bild zeigt leaf?
synthetic_vocab__leaf,synthetic-vocab,es,leaf,Que imagen muestra leaf?
synthetic_vocab__tomato,synthetic-vocab,en,tomato,Which picture shows tomato?
synthetic_vocab__tomato,synthetic-vocab,de,tomato,Welches Bild zeigt tomato?
synthetic_vocab__tomato,synthetic-vocab,es,tomato,Que imagen muestra tomato?
synthetic_vocab__belt,synthetic-vocab,en,belt,Which picture shows belt?
synthetic_vocab__belt,synthetic-vocab,de,belt,Welches Bild zeigt belt?
synthetic_vocab__belt,synthetic-vocab,es,belt,Que imagen muestra belt?
synthetic_vocab__pizza,synthetic-vocab,en,pizza,Which picture shows pizza?
synthetic_vocab__pizza,synthetic-vocab,de,pizza,Welches Bild zeigt pizza?
synthetic_vocab__pizza,synthetic-vocab,es,pizza,Que imagen muestra pizza?
synthetic_vocab__tie,synthetic-vocab,en,tie,Which picture shows tie?
synthetic_vocab__tie,synthetic-vocab,de,tie,Welches Bild zeigt tie?
synthetic_vocab__tie,synthetic-vocab,es,tie,Que imagen muestra tie?
synthetic_vocab__lemon,synthetic-vocab,en,lemon,Which picture shows lemon?
synthetic_vocab__lemon,synthetic-vocab,de,lemon,Welches Bild zeigt lemon?
synthetic_vocab__lemon,synthetic-vocab,es,lemon,Que imagen muestra lemon?
synthetic_vocab__button,synthetic-vocab,en,button,Which picture shows button?
synthetic_vocab__button,synthetic-vocab,de,button,Welches Bild zeigt button?
synthetic_vocab__button,synthetic-vocab,es,button,Que imagen muestra button?
synthetic_vocab__pumpkin,synthetic-vocab,en,pumpkin,Which picture shows pumpkin?
synthetic_vocab__pumpkin,synthetic-vocab,de,pumpkin,Welches Bild zeigt pumpkin?
synthetic_vocab__pumpkin,synthetic-vocab,es,pumpkin,Que imagen muestra pumpkin?
synthetic_vocab__mask,synthetic-vocab,en,mask,Which picture shows mask?
synthetic_vocab__mask,synthetic-vocab,de,mask,Welches Bild zeigt mask?
synthetic_vocab__mask,synthetic-vocab,es,mask,Que imagen muestra mask?
synthetic_vocab__football,synthetic-vocab,en,football,Which picture shows football?
synthetic_vocab__football,synthetic-vocab,de,football,Welches Bild zeigt football?
synthetic_vocab__football,synthetic-vocab,es,football,Que imagen muestra football?
synthetic_vocab__beard,synthetic-vocab,en,beard,Which picture shows beard?
synthetic_vocab__beard,synthetic-vocab,de,beard,Welches Bild zeigt beard?
synthetic_vocab__beard,synthetic-vocab,es,beard,Que imagen muestra beard?
synthetic_vocab__bow,synthetic-vocab,en,bow,Which picture shows bow?
synthetic_vocab__bow,synthetic-vocab,de,bow,Welches Bild zeigt bow?
synthetic_vocab__bow,synthetic-vocab,es,bow,Que imagen muestra bow?
synthetic_vocab__giraffe,synthetic-vocab,en,giraffe,Which picture shows giraffe?
synthetic_vocab__giraffe,synthetic-vocab,de,giraffe,Welches Bild zeigt giraffe?
synthetic_vocab__giraffe,synthetic-vocab,es,giraffe,Que imagen muestra giraffe?
synthetic_vocab__peanut,synthetic-vocab,en,peanut,Which picture shows peanut?
synthetic_vocab__peanut,synthetic-vocab,de,peanut,Welches Bild zeigt peanut?
synthetic_vocab__peanut,synthetic-vocab,es,peanut,Que imagen muestra peanut?
synthetic_vocab__bee,synthetic-vocab,en,bee,Which picture shows bee?
synthetic_vocab__bee,synthetic-vocab,de,bee,Welches Bild zeigt bee?
synthetic_vocab__bee,synthetic-vocab,es,bee,Que imagen muestra bee?
synthetic_vocab__zipper,synthetic-vocab,en,zipper,Which picture shows zipper?
synthetic_vocab__zipper,synthetic-vocab,de,zipper,Welches Bild zeigt zipper?
synthetic_vocab__zipper,synthetic-vocab,es,zipper,Que imagen muestra zipper?
synthetic_vocab__snake,synthetic-vocab,en,snake,Which picture shows snake?
synthetic_vocab__snake,synthetic-vocab,de,snake,Welches Bild zeigt snake?
synthetic_vocab__snake,synthetic-vocab,es,snake,Que imagen muestra snake?
synthetic_vocab__camel,synthetic-vocab,en,camel,Which picture shows camel?
synthetic_vocab__camel,synthetic-vocab,de,camel,Welches Bild zeigt camel?
synthetic_vocab__camel,synthetic-vocab,es,camel,Que imagen muestra camel?
synthetic_vocab__chain,synthetic-vocab,en,chain,Which picture shows chain?
synthetic_vocab__chain,synthetic-vocab,de,chain,Welches Bild zeigt chain?
synthetic_vocab__chain,synthetic-vocab,es,chain,Que imagen muestra chain?
synthetic_vocab__helicopter,synthetic-vocab,en,helicopter,Which picture shows helicopter?
synthetic_vocab__helicopter,synthetic-vocab,de,helicopter,Welches Bild zeigt helicopter?
synthetic_vocab__helicopter,synthetic-vocab,es,helicopter,Que imagen muestra helicopter?
synthetic_vocab__basketball,synthetic-vocab,en,basketball,Which picture shows basketball?
synthetic_vocab__basketball,synthetic-vocab,de,basketball,Welches Bild zeigt basketball?
synthetic_vocab__basketball,synthetic-vocab,es,basketball,Que imagen muestra basketball?
synthetic_vocab__waffle,synthetic-vocab,en,waffle,Which picture shows waffle?
synthetic_vocab__waffle,synthetic-vocab,de,waffle,Welches Bild zeigt waffle?
synthetic_vocab__waffle,synthetic-vocab,es,waffle,Que imagen muestra waffle?
synthetic_vocab__saw,synthetic-vocab,en,saw,Which picture shows saw?
synthetic_vocab__saw,synthetic-vocab,de,saw,Welches Bild zeigt saw?
synthetic_vocab__saw,synthetic-vocab,es,saw,Que imagen muestra saw?
synthetic_vocab__whistle,synthetic-vocab,en,whistle,Which picture shows whistle?
synthetic_vocab__whistle,synthetic-vocab,de,whistle,Welches Bild zeigt whistle?
synthetic_vocab__whistle,synthetic-vocab,es,whistle,Que imagen muestra whistle?
synthetic_vocab__pepper,synthetic-vocab,en,pepper,Which picture shows pepper?
synthetic_vocab__pepper,synthetic-vocab,de,pepper,Welches Bild zeigt pepper?
synthetic_vocab__pepper,synthetic-vocab,es,pepper,Que imagen muestra pepper?
synthetic_vocab__shark,synthetic-vocab,en,shark,Which picture shows shark?
synthetic_vocab__shark,synthetic-vocab,de,shark,Welches Bild zeigt shark?
synthetic_vocab__shark,synthetic-vocab,es,shark,Que imagen muestra shark?
synthetic_vocab__comb,synthetic-vocab,en,comb,Which picture shows comb?
synthetic_vocab__comb,synthetic-vocab,de,comb,Welches Bild zeigt comb?
synthetic_vocab__comb,synthetic-vocab,es,comb,Que imagen muestra comb?
synthetic_vocab__kangaroo,synthetic-vocab,en,kangaroo,Which picture shows kangaroo?
synthetic_vocab__kangaroo,synthetic-vocab,de,kangaroo,Welches Bild zeigt kangaroo?
synthetic_vocab__kangaroo,synthetic-vocab,es,kangaroo,Que imagen muestra kangaroo?
synthetic_vocab__cherry,synthetic-vocab,en,cherry,Which picture shows cherry?
synthetic_vocab__cherry,synthetic-vocab,de,cherry,Welches Bild zeigt cherry?
synthetic_vocab__cherry,synthetic-vocab,es,cherry,Que imagen muestra cherry?
synthetic_vocab__wig,synthetic-vocab,en,wig,Which picture shows wig?
synthetic_vocab__wig,synthetic-vocab,de,wig,Welches Bild zeigt wig?
synthetic_vocab__wig,synthetic-vocab,es,wig,Que imagen muestra wig?
synthetic_vocab__basket,synthetic-vocab,en,basket,Which picture shows basket?
synthetic_vocab__basket,synthetic-vocab,de,basket,Welches Bild zeigt basket?
synthetic_vocab__basket,synthetic-vocab,es,basket,Que imagen muestra basket?
synthetic_vocab__skirt,synthetic-vocab,en,skirt,Which picture shows skirt?
synthetic_vocab__skirt,synthetic-vocab,de,skirt,Welches Bild zeigt skirt?
synthetic_vocab__skirt,synthetic-vocab,es,skirt,Que imagen muestra skirt?
synthetic_vocab__penguin,synthetic-vocab,en,penguin,Which picture shows penguin?
synthetic_vocab__penguin,synthetic-vocab,de,penguin,Welches Bild zeigt penguin?
synthetic_vocab__penguin,synthetic-vocab,es,penguin,Que imagen muestra penguin?
synthetic_vocab__bracelet,synthetic-vocab,en,bracelet,Which picture shows bracelet?
synthetic_vocab__bracelet,synthetic-vocab,de,bracelet,Welches Bild zeigt bracelet?
synthetic_vocab__bracelet,synthetic-vocab,es,bracelet,Que imagen muestra bracelet?
synthetic_vocab__anchor,synthetic-vocab,en,anchor,Which picture shows anchor?
synthetic_vocab__anchor,synthetic-vocab,de,anchor,Welches Bild zeigt anchor?
synthetic_vocab__anchor,synthetic-vocab,es,anchor,Que imagen muestra anchor?
synthetic_vocab__moth,synthetic-vocab,en,moth,Which picture shows moth?
synthetic_vocab__moth,synthetic-vocab,de,moth,Welches Bild zeigt moth?
synthetic_vocab__moth,synthetic-vocab,es,moth,Que imagen muestra moth?
synthetic_vocab__peacock,synthetic-vocab,en,peacock,Which picture shows peacock?
synthetic_vocab__peacock,synthetic-vocab,de,peacock,Welches Bild zeigt peacock?
synthetic_vocab__peacock,synthetic-vocab,es,peacock,Que imagen muestra peacock?
synthetic_vocab__stapler,synthetic-vocab,en,stapler,Which picture shows stapler?
synthetic_vocab__stapler,synthetic-vocab,de,stapler,Welches Bild zeigt stapler?
synthetic_vocab__stapler,synthetic-vocab,es,stapler,Que imagen muestra stapler?
synthetic_vocab__eagle,synthetic-vocab,en,eagle,Which picture shows eagle?
synthetic_vocab__eagle,synthetic-vocab,de,eagle,Welches Bild zeigt eagle?
synthetic_vocab__eagle,synthetic-vocab,es,eagle,Que imagen muestra eagle?
synthetic_vocab__chips,synthetic-vocab,en,chips,Which picture shows chips?
synthetic_vocab__chips,synthetic-vocab,de,chips,Welches Bild zeigt chips?
synthetic_vocab__chips,synthetic-vocab,es,chips,Que imagen muestra chips?
synthetic_vocab__crumb,synthetic-vocab,en,crumb,Which picture shows crumb?
synthetic_vocab__crumb,synthetic-vocab,de,crumb,Welches Bild zeigt crumb?
synthetic_vocab__crumb,synthetic-vocab,es,crumb,Que imagen muestra crumb?
synthetic_vocab__camera,synthetic-vocab,en,camera,Which picture shows camera?
synthetic_vocab__camera,synthetic-vocab,de,camera,Welches Bild zeigt camera?
synthetic_vocab__camera,synthetic-vocab,es,camera,Que imagen muestra camera?
synthetic_vocab__crib,synthetic-vocab,en,crib,Which picture shows crib?
synthetic_vocab__crib,synthetic-vocab,de,crib,Welches Bild zeigt crib?
synthetic_vocab__crib,synthetic-vocab,es,crib,Que imagen muestra crib?
synthetic_vocab__magnet,synthetic-vocab,en,magnet,Which picture shows magnet?
synthetic_vocab__magnet,synthetic-vocab,de,magnet,Welches Bild zeigt magnet?
synthetic_vocab__magnet,synthetic-vocab,es,magnet,Que imagen muestra magnet?
synthetic_vocab__cauliflower,synthetic-vocab,en,cauliflower,Which picture shows cauliflower?
synthetic_vocab__cauliflower,synthetic-vocab,de,cauliflower,Welches Bild zeigt cauliflower?
synthetic_vocab__cauliflower,synthetic-vocab,es,cauliflower,Que imagen muestra cauliflower?
synthetic_vocab__card,synthetic-vocab,en,card,Which picture shows card?
synthetic_vocab__card,synthetic-vocab,de,card,Welches Bild zeigt card?
synthetic_vocab__card,synthetic-vocab,es,card,Que imagen muestra card?
synthetic_vocab__owl,synthetic-vocab,en,owl,Which picture shows owl?
synthetic_vocab__owl,synthetic-vocab,de,owl,Welches Bild zeigt owl?
synthetic_vocab__owl,synthetic-vocab,es,owl,Que imagen muestra owl?
synthetic_vocab__stool,synthetic-vocab,en,stool,Which picture shows stool?
synthetic_vocab__stool,synthetic-vocab,de,stool,Welches Bild zeigt stool?
synthetic_vocab__stool,synthetic-vocab,es,stool,Que imagen muestra stool?
synthetic_vocab__pineapple,synthetic-vocab,en,pineapple,Which picture shows pineapple?
synthetic_vocab__pineapple,synthetic-vocab,de,pineapple,Welches Bild zeigt pineapple?
synthetic_vocab__pineapple,synthetic-vocab,es,pineapple,Que imagen muestra pineapple?
synthetic_vocab__microphone,synthetic-vocab,en,microphone,Which picture shows microphone?
synthetic_vocab__microphone,synthetic-vocab,de,microphone,Welches Bild zeigt microphone?
synthetic_vocab__microphone,synthetic-vocab,es,microphone,Que imagen muestra microphone?
synthetic_vocab__envelope,synthetic-vocab,en,envelope,Which picture shows envelope?
synthetic_vocab__envelope,synthetic-vocab,de,envelope,Welches Bild zeigt envelope?
synthetic_vocab__envelope,synthetic-vocab,es,envelope,Que imagen muestra envelope?
synthetic_vocab__fence,synthetic-vocab,en,fence,Which picture shows fence?
synthetic_vocab__fence,synthetic-vocab,de,fence,Welches Bild zeigt fence?
synthetic_vocab__fence,synthetic-vocab,es,fence,Que imagen muestra fence?
synthetic_vocab__timer,synthetic-vocab,en,timer,Which picture shows timer?
synthetic_vocab__timer,synthetic-vocab,de,timer,Welches Bild zeigt timer?
synthetic_vocab__timer,synthetic-vocab,es,timer,Que imagen muestra timer?
synthetic_vocab__handcuff,synthetic-vocab,en,handcuff,Which picture shows handcuff?
synthetic_vocab__handcuff,synthetic-vocab,de,handcuff,Welches Bild zeigt handcuff?
synthetic_vocab__handcuff,synthetic-vocab,es,handcuff,Que imagen muestra handcuff?
synthetic_vocab__pearl,synthetic-vocab,en,pearl,Which picture shows pearl?
synthetic_vocab__pearl,synthetic-vocab,de,pearl,Welches Bild zeigt pearl?
synthetic_vocab__pearl,synthetic-vocab,es,pearl,Que imagen muestra pearl?
synthetic_vocab__faucet,synthetic-vocab,en,faucet,Which picture shows faucet?
synthetic_vocab__faucet,synthetic-vocab,de,faucet,Welches Bild zeigt faucet?
synthetic_vocab__faucet,synthetic-vocab,es,faucet,Que imagen muestra faucet?
synthetic_vocab__stamp,synthetic-vocab,en,stamp,Which picture shows stamp?
synthetic_vocab__stamp,synthetic-vocab,de,stamp,Welches Bild zeigt stamp?
synthetic_vocab__stamp,synthetic-vocab,es,stamp,Que imagen muestra stamp?
synthetic_vocab__trailer,synthetic-vocab,en,trailer,Which picture shows trailer?
synthetic_vocab__trailer,synthetic-vocab,de,trailer,Welches Bild zeigt trailer?
synthetic_vocab__trailer,synthetic-vocab,es,trailer,Que imagen muestra trailer?
synthetic_vocab__dice,synthetic-vocab,en,dice,Which picture shows dice?
synthetic_vocab__dice,synthetic-vocab,de,dice,Welches Bild zeigt dice?
synthetic_vocab__dice,synthetic-vocab,es,dice,Que imagen muestra dice?
synthetic_vocab__mushroom,synthetic-vocab,en,mushroom,Which picture shows mushroom?
synthetic_vocab__mushroom,synthetic-vocab,de,mushroom,Welches Bild zeigt mushroom?
synthetic_vocab__mushroom,synthetic-vocab,es,mushroom,Que imagen muestra mushroom?
synthetic_vocab__lava,synthetic-vocab,en,lava,Which picture shows lava?
synthetic_vocab__lava,synthetic-vocab,de,lava,Welches Bild zeigt lava?
synthetic_vocab__lava,synthetic-vocab,es,lava,Que imagen muestra lava?
synthetic_vocab__coconut,synthetic-vocab,en,coconut,Which picture shows coconut?
synthetic_vocab__coconut,synthetic-vocab,de,coconut,Welches Bild zeigt coconut?
synthetic_vocab__coconut,synthetic-vocab,es,coconut,Que imagen muestra coconut?
synthetic_vocab__slingshot,synthetic-vocab,en,slingshot,Which picture shows slingshot?
synthetic_vocab__slingshot,synthetic-vocab,de,slingshot,Welches Bild zeigt slingshot?
synthetic_vocab__slingshot,synthetic-vocab,es,slingshot,Que imagen muestra slingshot?
synthetic_vocab__jellyfish,synthetic-vocab,en,jellyfish,Which picture shows jellyfish?
synthetic_vocab__jellyfish,synthetic-vocab,de,jellyfish,Welches Bild zeigt jellyfish?
synthetic_vocab__jellyfish,synthetic-vocab,es,jellyfish,Que imagen muestra jellyfish?
synthetic_vocab__thermometer,synthetic-vocab,en,thermometer,Which picture shows thermometer?
synthetic_vocab__thermometer,synthetic-vocab,de,thermometer,Welches Bild zeigt thermometer?
synthetic_vocab__thermometer,synthetic-vocab,es,thermometer,Que imagen muestra thermometer?
synthetic_vocab__dough,synthetic-vocab,en,dough,Which picture shows dough?
synthetic_vocab__dough,synthetic-vocab,de,dough,Welches Bild zeigt dough?
synthetic_vocab__dough,synthetic-vocab,es,dough,Que imagen muestra dough?
synthetic_vocab__suit,synthetic-vocab,en,suit,Which picture shows suit?
synthetic_vocab__suit,synthetic-vocab,de,suit,Welches Bild zeigt suit?
synthetic_vocab__suit,synthetic-vocab,es,suit,Que imagen muestra suit?
synthetic_vocab__skeleton,synthetic-vocab,en,skeleton,Which picture shows skeleton?
synthetic_vocab__skeleton,synthetic-vocab,de,skeleton,Welches Bild zeigt skeleton?
synthetic_vocab__skeleton,synthetic-vocab,es,skeleton,Que imagen muestra skeleton?
synthetic_vocab__vacuum,synthetic-vocab,en,vacuum,Which picture shows vacuum?
synthetic_vocab__vacuum,synthetic-vocab,de,vacuum,Welches Bild zeigt vacuum?
synthetic_vocab__vacuum,synthetic-vocab,es,vacuum,Que imagen muestra vacuum?
synthetic_vocab__binoculars,synthetic-vocab,en,binoculars,Which picture shows binoculars?
synthetic_vocab__binoculars,synthetic-vocab,de,binoculars,Welches Bild zeigt binoculars?
synthetic_vocab__binoculars,synthetic-vocab,es,binoculars,Que imagen muestra binoculars?
synthetic_vocab__wheelchair,synthetic-vocab,en,wheelchair,Which picture shows wheelchair?
synthetic_vocab__wheelchair,synthetic-vocab,de,wheelchair,Welches Bild zeigt wheelchair?
synthetic_vocab__wheelchair,synthetic-vocab,es,wheelchair,Que imagen muestra wheelchair?
synthetic_vocab__porcupine,synthetic-vocab,en,porcupine,Which picture shows porcupine?
synthetic_vocab__porcupine,synthetic-vocab,de,porcupine,Welches Bild zeigt porcupine?
synthetic_vocab__porcupine,synthetic-vocab,es,porcupine,Que imagen muestra porcupine?
synthetic_vocab__pinball,synthetic-vocab,en,pinball,Which picture shows pinball?
synthetic_vocab__pinball,synthetic-vocab,de,pinball,Welches Bild zeigt pinball?
synthetic_vocab__pinball,synthetic-vocab,es,pinball,Que imagen muestra pinball?
synthetic_vocab__blind,synthetic-vocab,en,blind,Which picture shows blind?
synthetic_vocab__blind,synthetic-vocab,de,blind,Welches Bild zeigt blind?
synthetic_vocab__blind,synthetic-vocab,es,blind,Que imagen muestra blind?
synthetic_vocab__marble,synthetic-vocab,en,marble,Which picture shows marble?
synthetic_vocab__marble,synthetic-vocab,de,marble,Welches Bild zeigt marble?
synthetic_vocab__marble,synthetic-vocab,es,marble,Que imagen muestra marble?
synthetic_vocab__goggles,synthetic-vocab,en,goggles,Which picture shows goggles?
synthetic_vocab__goggles,synthetic-vocab,de,goggles,Welches Bild zeigt goggles?
synthetic_vocab__goggles,synthetic-vocab,es,goggles,Que imagen muestra goggles?
synthetic_vocab__shrimp,synthetic-vocab,en,shrimp,Which picture shows shrimp?
synthetic_vocab__shrimp,synthetic-vocab,de,shrimp,Welches Bild zeigt shrimp?
synthetic_vocab__shrimp,synthetic-vocab,es,shrimp,Que imagen muestra shrimp?
synthetic_vocab__xylophone,synthetic-vocab,en,xylophone,Which picture shows xylophone?
synthetic_vocab__xylophone,synthetic-vocab,de,xylophone,Welches Bild zeigt xylophone?
synthetic_vocab__xylophone,synthetic-vocab,es,xylophone,Que imagen muestra xylophone?
synthetic_vocab__drill,synthetic-vocab,en,drill,Which picture shows drill?
synthetic_vocab__drill,synthetic-vocab,de,drill,Welches Bild zeigt drill?
synthetic_vocab__drill,synthetic-vocab,es,drill,Que imagen muestra drill?
synthetic_vocab__tweezers,synthetic-vocab,en,tweezers,Which picture shows tweezers?
synthetic_vocab__tweezers,synthetic-vocab,de,tweezers,Welches Bild zeigt tweezers?
synthetic_vocab__tweezers,synthetic-vocab,es,tweezers,Que imagen muestra tweezers?
synthetic_vocab__crutch,synthetic-vocab,en,crutch,Which picture shows crutch?
synthetic_vocab__crutch,synthetic-vocab,de,crutch,Welches Bild zeigt crutch?
synthetic_vocab__crutch,synthetic-vocab,es,crutch,Que imagen muestra crutch?
synthetic_vocab__unicycle,synthetic-vocab,en,unicycle,Which picture shows unicycle?
synthetic_vocab__unicycle,synthetic-vocab,de,unicycle,Welches Bild zeigt unicycle?
synthetic_vocab__unicycle,synthetic-vocab,es,unicycle,Que imagen muestra unicycle?
synthetic_vocab__ramp,synthetic-vocab,en,ramp,Which picture shows ramp?
synthetic_vocab__ramp,synthetic-vocab,de,ramp,Welches Bild zeigt ramp?
synthetic_vocab__ramp,synthetic-vocab,es,ramp,Que imagen muestra ramp?
synthetic_vocab__extinguisher,synthetic-vocab,en,extinguisher,Which picture shows extinguisher?
synthetic_vocab__extinguisher,synthetic-vocab,de,extinguisher,Welches Bild zeigt extinguisher?
synthetic_vocab__extinguisher,synthetic-vocab,es,extinguisher,Que imagen muestra extinguisher?
synthetic_vocab__dart,synthetic-vocab,en,dart,Which picture shows dart?
synthetic_vocab__dart,synthetic-vocab,de,dart,Welches Bild zeigt dart?
synthetic_vocab__dart,synthetic-vocab,es,dart,Que imagen muestra dart?
synthetic_vocab__harp,synthetic-vocab,en,harp,Which picture shows harp?
synthetic_vocab__harp,synthetic-vocab,de,harp,Welches Bild zeigt harp?
synthetic_vocab__harp,synthetic-vocab,es,harp,Que imagen muestra harp?
synthetic_vocab__microwave,synthetic-vocab,en,microwave,Which picture shows microwave?
synthetic_vocab__microwave,synthetic-vocab,de,microwave,Welches Bild zeigt microwave?
synthetic_vocab__microwave,synthetic-vocab,es,microwave,Que imagen muestra microwave?
synthetic_vocab__frame,synthetic-vocab,en,frame,Which picture shows frame?
