item_uid,answer,distractors,gold_letter,gold_quadrant,A_top_left_term,B_top_right_term,C_bottom_left_term,D_bottom_right_term,A_top_left_src,B_top_right_src,C_bottom_left_src,D_bottom_right_src,composite_path
vocab__bulldozer,bulldozer,orange|tractor|eggplant,A,top-left,bulldozer,tractor,orange,eggplant,data/assets/2026-03-24/visual/vocab/bulldozer.webp,data/assets/2026-03-24/visual/vocab/tractor.webp,data/assets/2026-03-24/visual/vocab/orange.webp,data/assets/2026-03-24/visual/vocab/eggplant.webp,local_data/vocab_graphics/images/vocab__bulldozer.png
vocab__cake,cake,dessert|refrigerator|battery,B,top-right,battery,cake,refrigerator,dessert,data/assets/2026-03-24/visual/vocab/battery.webp,data/assets/2026-03-24/visual/vocab/cake.webp,data/assets/2026-03-24/visual/vocab/refrigerator.webp,data/assets/2026-03-24/visual/vocab/dessert.webp,local_data/vocab_graphics/images/vocab__cake.png
vocab__caramel,caramel,amber|olive|warthog,B,top-right,warthog,caramel,amber,olive,data/assets/2026-03-24/visual/vocab/warthog.webp,data/assets/2026-03-24/visual/vocab/caramel.webp,data/assets/2026-03-24/visual/vocab/amber.webp,data/assets/2026-03-24/visual/vocab/olive.webp,local_data/vocab_graphics/images/vocab__caramel.png
vocab__carousel,carousel,carriage|dish|melon,D,bottom-right,melon,dish,carriage,carousel,data/assets/2026-03-24/visual/vocab/melon.webp,data/assets/2026-03-24/visual/vocab/dish.webp,data/assets/2026-03-24/visual/vocab/carriage.webp,data/assets/2026-03-24/visual/vocab/carousel.webp,local_data/vocab_graphics/images/vocab__carousel.png
vocab__carrot,carrot,phone|vegetable|bathtub,B,top-right,phone,carrot,vegetable,bathtub,data/assets/2026-03-24/visual/vocab/phone.webp,data/assets/2026-03-24/visual/vocab/carrot.webp,data/assets/2026-03-24/visual/vocab/vegetable.webp,data/assets/2026-03-24/visual/vocab/bathtub.webp,local_data/vocab_graphics/images/vocab__carrot.png
vocab__cassette,cassette,book|tape|hammock,B,top-right,hammock,cassette,book,tape,data/assets/2026-03-24/visual/vocab/hammock.webp,data/assets/2026-03-24/visual/vocab/cassette.webp,data/assets/2026-03-24/visual/vocab/book.webp,data/assets/2026-03-24/visual/vocab/tape.webp,local_data/vocab_graphics/images/vocab__cassette.png
vocab__cheese,cheese,butter|mud|hippopotamus,C,bottom-left,butter,hippopotamus,cheese,mud,data/assets/2026-03-24/visual/vocab/butter.webp,data/assets/2026-03-24/visual/vocab/hippopotamus.webp,data/assets/2026-03-24/visual/vocab/cheese.webp,data/assets/2026-03-24/visual/vocab/mud.webp,local_data/vocab_graphics/images/vocab__cheese.png
vocab__cloak,cloak,cinnamon|hood|jellyfish,D,bottom-right,hood,jellyfish,cinnamon,cloak,data/assets/2026-03-24/visual/vocab/hood.webp,data/assets/2026-03-24/visual/vocab/jellyfish.webp,data/assets/2026-03-24/visual/vocab/cinnamon.webp,data/assets/2026-03-24/visual/vocab/cloak.webp,local_data/vocab_graphics/images/vocab__cloak.png
vocab__clothespin,clothespin,toothpick|volleyball|fondue,B,top-right,fondue,clothespin,toothpick,volleyball,data/assets/2026-03-24/visual/vocab/fondue.webp,data/assets/2026-03-24/visual/vocab/clothespin.webp,data/assets/2026-03-24/visual/vocab/toothpick.webp,data/assets/2026-03-24/visual/vocab/volleyball.webp,local_data/vocab_graphics/images/vocab__clothespin.png
vocab__coaster,coaster,card|painting|hummingbird,D,bottom-right,card,hummingbird,painting,coaster,data/assets/2026-03-24/visual/vocab/card.webp,data/assets/2026-03-24/visual/vocab/hummingbird.webp,data/assets/2026-03-24/visual/vocab/painting.webp,data/assets/2026-03-24/visual/vocab/coaster.webp,local_data/vocab_graphics/images/vocab__coaster.png
vocab__cork,cork,jersey|skateboard|mascara,C,bottom-left,mascara,skateboard,cork,jersey,data/assets/2026-03-24/visual/vocab/mascara.webp,data/assets/2026-03-24/visual/vocab/skateboard.webp,data/assets/2026-03-24/visual/vocab/cork.webp,data/assets/2026-03-24/visual/vocab/jersey.webp,local_data/vocab_graphics/images/vocab__cork.png
vocab__cornbread,cornbread,corn|wreath|organ,A,top-left,cornbread,wreath,corn,organ,data/assets/2026-03-24/visual/vocab/cornbread.webp,data/assets/2026-03-24/visual/vocab/wreath.webp,data/assets/2026-03-24/visual/vocab/corn.webp,data/assets/2026-03-24/visual/vocab/organ.webp,local_data/vocab_graphics/images/vocab__cornbread.png
vocab__corset,corset,harness|mantle|bonsai,C,bottom-left,harness,mantle,corset,bonsai,data/assets/2026-03-24/visual/vocab/harness.webp,data/assets/2026-03-24/visual/vocab/mantle.webp,data/assets/2026-03-24/visual/vocab/corset.webp,data/assets/2026-03-24/visual/vocab/bonsai.webp,local_data/vocab_graphics/images/vocab__corset.png
vocab__dumpling,dumpling,meatball|rocket|coyote,B,top-right,coyote,dumpling,meatball,rocket,data/assets/2026-03-24/visual/vocab/coyote.webp,data/assets/2026-03-24/visual/vocab/dumpling.webp,data/assets/2026-03-24/visual/vocab/meatball.webp,data/assets/2026-03-24/visual/vocab/rocket.webp,local_data/vocab_graphics/images/vocab__dumpling.png
vocab__elbow,elbow,arm|bed|gorilla,B,top-right,gorilla,elbow,arm,bed,data/assets/2026-03-24/visual/vocab/gorilla.webp,data/assets/2026-03-24/visual/vocab/elbow.webp,data/assets/2026-03-24/visual/vocab/arm.webp,data/assets/2026-03-24/visual/vocab/bed.webp,local_data/vocab_graphics/images/vocab__elbow.png
vocab__fan,fan,album|boulder|chipmunk,C,bottom-left,album,boulder,fan,chipmunk,data/assets/2026-03-24/visual/vocab/album.webp,data/assets/2026-03-24/visual/vocab/boulder.webp,data/assets/2026-03-24/visual/vocab/fan.webp,data/assets/2026-03-24/visual/vocab/chipmunk.webp,local_data/vocab_graphics/images/vocab__fan.png
vocab__foam,foam,float|quilt|asparagus,B,top-right,asparagus,foam,quilt,float,data/assets/2026-03-24/visual/vocab/asparagus.webp,data/assets/2026-03-24/visual/vocab/foam.webp,data/assets/2026-03-24/visual/vocab/quilt.webp,data/assets/2026-03-24/visual/vocab/float.webp,local_data/vocab_graphics/images/vocab__foam.png
vocab__footbath,footbath,trough|vest|rhinoceros,D,bottom-right,vest,trough,rhinoceros,footbath,data/assets/2026-03-24/visual/vocab/vest.webp,data/assets/2026-03-24/visual/vocab/trough.webp,data/assets/2026-03-24/visual/vocab/rhinoceros.webp,data/assets/2026-03-24/visual/vocab/footbath.webp,local_data/vocab_graphics/images/vocab__footbath.png
vocab__fruitcake,fruitcake,dough|fudge|anvil,C,bottom-left,dough,fudge,fruitcake,anvil,data/assets/2026-03-24/visual/vocab/dough.webp,data/assets/2026-03-24/visual/vocab/fudge.webp,data/assets/2026-03-24/visual/vocab/fruitcake.webp,data/assets/2026-03-24/visual/vocab/anvil.webp,local_data/vocab_graphics/images/vocab__fruitcake.png
vocab__gutter,gutter,almond|filter|porthole,B,top-right,almond,gutter,filter,porthole,data/assets/2026-03-24/visual/vocab/almond.webp,data/assets/2026-03-24/visual/vocab/gutter.webp,data/assets/2026-03-24/visual/vocab/filter.webp,data/assets/2026-03-24/visual/vocab/porthole.webp,local_data/vocab_graphics/images/vocab__gutter.png
vocab__hamster,hamster,rabbit|tadpole|skirt,A,top-left,hamster,tadpole,skirt,rabbit,data/assets/2026-03-24/visual/vocab/hamster.webp,data/assets/2026-03-24/visual/vocab/tadpole.webp,data/assets/2026-03-24/visual/vocab/skirt.webp,data/assets/2026-03-24/visual/vocab/rabbit.webp,local_data/vocab_graphics/images/vocab__hamster.png
vocab__hedgehog,hedgehog,iguana|owl|dumbwaiter,D,bottom-right,dumbwaiter,owl,iguana,hedgehog,data/assets/2026-03-24/visual/vocab/dumbwaiter.webp,data/assets/2026-03-24/visual/vocab/owl.webp,data/assets/2026-03-24/visual/vocab/iguana.webp,data/assets/2026-03-24/visual/vocab/hedgehog.webp,local_data/vocab_graphics/images/vocab__hedgehog.png
vocab__hoe,hoe,dustpan|peg|beaker,C,bottom-left,peg,beaker,hoe,dustpan,data/assets/2026-03-24/visual/vocab/peg.webp,data/assets/2026-03-24/visual/vocab/beaker.webp,data/assets/2026-03-24/visual/vocab/hoe.webp,data/assets/2026-03-24/visual/vocab/dustpan.webp,local_data/vocab_graphics/images/vocab__hoe.png
vocab__hopscotch,hopscotch,chalk|funnel|jug,C,bottom-left,chalk,jug,hopscotch,funnel,data/assets/2026-03-24/visual/vocab/chalk.webp,data/assets/2026-03-24/visual/vocab/jug.webp,data/assets/2026-03-24/visual/vocab/hopscotch.webp,data/assets/2026-03-24/visual/vocab/funnel.webp,local_data/vocab_graphics/images/vocab__hopscotch.png
vocab__kimono,kimono,cardigan|turntable|cable,B,top-right,turntable,kimono,cable,cardigan,data/assets/2026-03-24/visual/vocab/turntable.webp,data/assets/2026-03-24/visual/vocab/kimono.webp,data/assets/2026-03-24/visual/vocab/cable.webp,data/assets/2026-03-24/visual/vocab/cardigan.webp,local_data/vocab_graphics/images/vocab__kimono.png
vocab__latch,latch,lock|microwave|umbrella,D,bottom-right,lock,microwave,umbrella,latch,data/assets/2026-03-24/visual/vocab/lock.webp,data/assets/2026-03-24/visual/vocab/microwave.webp,data/assets/2026-03-24/visual/vocab/umbrella.webp,data/assets/2026-03-24/visual/vocab/latch.webp,local_data/vocab_graphics/images/vocab__latch.png
vocab__locker,locker,basket|cabinet|gargoyle,B,top-right,cabinet,locker,basket,gargoyle,data/assets/2026-03-24/visual/vocab/cabinet.webp,data/assets/2026-03-24/visual/vocab/locker.webp,data/assets/2026-03-24/visual/vocab/basket.webp,data/assets/2026-03-24/visual/vocab/gargoyle.webp,local_data/vocab_graphics/images/vocab__locker.png
vocab__lollipop,lollipop,candy|doorbell|crumb,A,top-left,lollipop,crumb,candy,doorbell,data/assets/2026-03-24/visual/vocab/lollipop.webp,data/assets/2026-03-24/visual/vocab/crumb.webp,data/assets/2026-03-24/visual/vocab/candy.webp,data/assets/2026-03-24/visual/vocab/doorbell.webp,local_data/vocab_graphics/images/vocab__lollipop.png
vocab__map,map,marker|ruby|dishwasher,D,bottom-right,marker,ruby,dishwasher,map,data/assets/2026-03-24/visual/vocab/marker.webp,data/assets/2026-03-24/visual/vocab/ruby.webp,data/assets/2026-03-24/visual/vocab/dishwasher.webp,data/assets/2026-03-24/visual/vocab/map.webp,local_data/vocab_graphics/images/vocab__map.png
vocab__marshmallow,marshmallow,dryer|snowball|rooster,B,top-right,rooster,marshmallow,snowball,dryer,data/assets/2026-03-24/visual/vocab/rooster.webp,data/assets/2026-03-24/visual/vocab/marshmallow.webp,data/assets/2026-03-24/visual/vocab/snowball.webp,data/assets/2026-03-24/visual/vocab/dryer.webp,local_data/vocab_graphics/images/vocab__marshmallow.png
vocab__net,net,domino|tee|hydrant,D,bottom-right,hydrant,domino,tee,net,data/assets/2026-03-24/visual/vocab/hydrant.webp,data/assets/2026-03-24/visual/vocab/domino.webp,data/assets/2026-03-24/visual/vocab/tee.webp,data/assets/2026-03-24/visual/vocab/net.webp,local_data/vocab_graphics/images/vocab__net.png
vocab__oil,oil,gel|grain|bassinet,A,top-left,oil,gel,bassinet,grain,data/assets/2026-03-24/visual/vocab/oil.webp,data/assets/2026-03-24/visual/vocab/gel.webp,data/assets/2026-03-24/visual/vocab/bassinet.webp,data/assets/2026-03-24/visual/vocab/grain.webp,local_data/vocab_graphics/images/vocab__oil.png
vocab__omelet,omelet,clay|pancake|trunk,A,top-left,omelet,trunk,pancake,clay,data/assets/2026-03-24/visual/vocab/omelet.webp,data/assets/2026-03-24/visual/vocab/trunk.webp,data/assets/2026-03-24/visual/vocab/pancake.webp,data/assets/2026-03-24/visual/vocab/clay.webp,local_data/vocab_graphics/images/vocab__omelet.png
vocab__pie,pie,flashlight|pizza|sweater,B,top-right,pizza,pie,sweater,flashlight,data/assets/2026-03-24/visual/vocab/pizza.webp,data/assets/2026-03-24/visual/vocab/pie.webp,data/assets/2026-03-24/visual/vocab/sweater.webp,data/assets/2026-03-24/visual/vocab/flashlight.webp,local_data/vocab_graphics/images/vocab__pie.png
vocab__pistachio,pistachio,avocado|taco|bagpipe,B,top-right,taco,pistachio,bagpipe,avocado,data/assets/2026-03-24/visual/vocab/taco.webp,data/assets/2026-03-24/visual/vocab/pistachio.webp,data/assets/2026-03-24/visual/vocab/bagpipe.webp,data/assets/2026-03-24/visual/vocab/avocado.webp,local_data/vocab_graphics/images/vocab__pistachio.png
vocab__pitcher,pitcher,batter|tumbleweed|medal,B,top-right,medal,pitcher,tumbleweed,batter,data/assets/2026-03-24/visual/vocab/medal.webp,data/assets/2026-03-24/visual/vocab/pitcher.webp,data/assets/2026-03-24/visual/vocab/tumbleweed.webp,data/assets/2026-03-24/visual/vocab/batter.webp,local_data/vocab_graphics/images/vocab__pitcher.png
vocab__potato,potato,glasses|pot|dragonfly,B,top-right,dragonfly,potato,pot,glasses,data/assets/2026-03-24/visual/vocab/dragonfly.webp,data/assets/2026-03-24/visual/vocab/potato.webp,data/assets/2026-03-24/visual/vocab/pot.webp,data/assets/2026-03-24/visual/vocab/glasses.webp,local_data/vocab_graphics/images/vocab__potato.png
vocab__prism,prism,radar|subway|chinchilla,B,top-right,subway,prism,radar,chinchilla,data/assets/2026-03-24/visual/vocab/subway.webp,data/assets/2026-03-24/visual/vocab/prism.webp,data/assets/2026-03-24/visual/vocab/radar.webp,data/assets/2026-03-24/visual/vocab/chinchilla.webp,local_data/vocab_graphics/images/vocab__prism.png
vocab__puddle,puddle,baseball|bubble|salami,C,bottom-left,baseball,bubble,puddle,salami,data/assets/2026-03-24/visual/vocab/baseball.webp,data/assets/2026-03-24/visual/vocab/bubble.webp,data/assets/2026-03-24/visual/vocab/puddle.webp,data/assets/2026-03-24/visual/vocab/salami.webp,local_data/vocab_graphics/images/vocab__puddle.png
vocab__pump,pump,coat|plug|scarf,D,bottom-right,plug,coat,scarf,pump,data/assets/2026-03-24/visual/vocab/plug.webp,data/assets/2026-03-24/visual/vocab/coat.webp,data/assets/2026-03-24/visual/vocab/scarf.webp,data/assets/2026-03-24/visual/vocab/pump.webp,local_data/vocab_graphics/images/vocab__pump.png
vocab__rice,rice,box|dice|bedpost,A,top-left,rice,bedpost,dice,box,data/assets/2026-03-24/visual/vocab/rice.webp,data/assets/2026-03-24/visual/vocab/bedpost.webp,data/assets/2026-03-24/visual/vocab/dice.webp,data/assets/2026-03-24/visual/vocab/box.webp,local_data/vocab_graphics/images/vocab__rice.png
vocab__saddle,saddle,figurine|handle|broccoli,A,top-left,saddle,broccoli,figurine,handle,data/assets/2026-03-24/visual/vocab/saddle.webp,data/assets/2026-03-24/visual/vocab/broccoli.webp,data/assets/2026-03-24/visual/vocab/figurine.webp,data/assets/2026-03-24/visual/vocab/handle.webp,local_data/vocab_graphics/images/vocab__saddle.png
vocab__sandbag,sandbag,sandpaper|valve|octopus,B,top-right,sandpaper,sandbag,octopus,valve,data/assets/2026-03-24/visual/vocab/sandpaper.webp,data/assets/2026-03-24/visual/vocab/sandbag.webp,data/assets/2026-03-24/visual/vocab/octopus.webp,data/assets/2026-03-24/visual/vocab/valve.webp,local_data/vocab_graphics/images/vocab__sandbag.png
vocab__scaffolding,scaffolding,satellite|veil|antelope,D,bottom-right,satellite,veil,antelope,scaffolding,data/assets/2026-03-24/visual/vocab/satellite.webp,data/assets/2026-03-24/visual/vocab/veil.webp,data/assets/2026-03-24/visual/vocab/antelope.webp,data/assets/2026-03-24/visual/vocab/scaffolding.webp,local_data/vocab_graphics/images/vocab__scaffolding.png
vocab__scoop,scoop,sauce|statue|cauliflower,B,top-right,sauce,scoop,statue,cauliflower,data/assets/2026-03-24/visual/vocab/sauce.webp,data/assets/2026-03-24/visual/vocab/scoop.webp,data/assets/2026-03-24/visual/vocab/statue.webp,data/assets/2026-03-24/visual/vocab/cauliflower.webp,local_data/vocab_graphics/images/vocab__scoop.png
vocab__seagull,seagull,lobster|pigeon|perfume,C,bottom-left,lobster,perfume,seagull,pigeon,data/assets/2026-03-24/visual/vocab/lobster.webp,data/assets/2026-03-24/visual/vocab/perfume.webp,data/assets/2026-03-24/visual/vocab/seagull.webp,data/assets/2026-03-24/visual/vocab/pigeon.webp,local_data/vocab_graphics/images/vocab__seagull.png
vocab__ship,ship,boat|nose|zucchini,D,bottom-right,nose,boat,zucchini,ship,data/assets/2026-03-24/visual/vocab/nose.webp,data/assets/2026-03-24/visual/vocab/boat.webp,data/assets/2026-03-24/visual/vocab/zucchini.webp,data/assets/2026-03-24/visual/vocab/ship.webp,local_data/vocab_graphics/images/vocab__ship.png
vocab__shower,shower,soap|toe|cantaloupe,B,top-right,toe,shower,soap,cantaloupe,data/assets/2026-03-24/visual/vocab/toe.webp,data/assets/2026-03-24/visual/vocab/shower.webp,data/assets/2026-03-24/visual/vocab/soap.webp,data/assets/2026-03-24/visual/vocab/cantaloupe.webp,local_data/vocab_graphics/images/vocab__shower.png
vocab__silverware,silverware,garlic|trophy|eggnog,D,bottom-right,garlic,trophy,eggnog,silverware,data/assets/2026-03-24/visual/vocab/garlic.webp,data/assets/2026-03-24/visual/vocab/trophy.webp,data/assets/2026-03-24/visual/vocab/eggnog.webp,data/assets/2026-03-24/visual/vocab/silverware.webp,local_data/vocab_graphics/images/vocab__silverware.png
vocab__sink,sink,stair|toilet|knitting,B,top-right,knitting,sink,stair,toilet,data/assets/2026-03-24/visual/vocab/knitting.webp,data/assets/2026-03-24/visual/vocab/sink.webp,data/assets/2026-03-24/visual/vocab/stair.webp,data/assets/2026-03-24/visual/vocab/toilet.webp,local_data/vocab_graphics/images/vocab__sink.png
vocab__ski,ski,ice|suitcase|pincushion,D,bottom-right,suitcase,pincushion,ice,ski,data/assets/2026-03-24/visual/vocab/suitcase.webp,data/assets/2026-03-24/visual/vocab/pincushion.webp,data/assets/2026-03-24/visual/vocab/ice.webp,data/assets/2026-03-24/visual/vocab/ski.webp,local_data/vocab_graphics/images/vocab__ski.png
vocab__sloth,sloth,clam|donkey|incense,B,top-right,donkey,sloth,clam,incense,data/assets/2026-03-24/visual/vocab/donkey.webp,data/assets/2026-03-24/visual/vocab/sloth.webp,data/assets/2026-03-24/visual/vocab/clam.webp,data/assets/2026-03-24/visual/vocab/incense.webp,local_data/vocab_graphics/images/vocab__sloth.png
vocab__snail,snail,cow|worm|visor,D,bottom-right,worm,cow,visor,snail,data/assets/2026-03-24/visual/vocab/worm.webp,data/assets/2026-03-24/visual/vocab/cow.webp,data/assets/2026-03-24/visual/vocab/visor.webp,data/assets/2026-03-24/visual/vocab/snail.webp,local_data/vocab_graphics/images/vocab__snail.png
vocab__sorbet,sorbet,palette|tamale|chive,A,top-left,sorbet,palette,chive,tamale,data/assets/2026-03-24/visual/vocab/sorbet.webp,data/assets/2026-03-24/visual/vocab/palette.webp,data/assets/2026-03-24/visual/vocab/chive.webp,data/assets/2026-03-24/visual/vocab/tamale.webp,local_data/vocab_graphics/images/vocab__sorbet.png
vocab__spatula,spatula,lava|paddle|pheasant,D,bottom-right,lava,paddle,pheasant,spatula,data/assets/2026-03-24/visual/vocab/lava.webp,data/assets/2026-03-24/visual/vocab/paddle.webp,data/assets/2026-03-24/visual/vocab/pheasant.webp,data/assets/2026-03-24/visual/vocab/spatula.webp,local_data/vocab_graphics/images/vocab__spatula.png
vocab__sprinkler,sprinkler,flower|sparkler|charcoal,C,bottom-left,sparkler,flower,sprinkler,charcoal,data/assets/2026-03-24/visual/vocab/sparkler.webp,data/assets/2026-03-24/visual/vocab/flower.webp,data/assets/2026-03-24/visual/vocab/sprinkler.webp,data/assets/2026-03-24/visual/vocab/charcoal.webp,local_data/vocab_graphics/images/vocab__sprinkler.png
vocab__squash,squash,branch|pumpkin|gazelle,C,bottom-left,branch,gazelle,squash,pumpkin,data/assets/2026-03-24/visual/vocab/branch.webp,data/assets/2026-03-24/visual/vocab/gazelle.webp,data/assets/2026-03-24/visual/vocab/squash.webp,data/assets/2026-03-24/visual/vocab/pumpkin.webp,local_data/vocab_graphics/images/vocab__squash.png
vocab__squirrel,squirrel,eagle|monkey|shorts,D,bottom-right,shorts,monkey,eagle,squirrel,data/assets/2026-03-24/visual/vocab/shorts.webp,data/assets/2026-03-24/visual/vocab/monkey.webp,data/assets/2026-03-24/visual/vocab/eagle.webp,data/assets/2026-03-24/visual/vocab/squirrel.webp,local_data/vocab_graphics/images/vocab__squirrel.png
vocab__stew,stew,mixer|soup|orchid,D,bottom-right,mixer,orchid,soup,stew,data/assets/2026-03-24/visual/vocab/mixer.webp,data/assets/2026-03-24/visual/vocab/orchid.webp,data/assets/2026-03-24/visual/vocab/soup.webp,data/assets/2026-03-24/visual/vocab/stew.webp,local_data/vocab_graphics/images/vocab__stew.png
vocab__rubberband,rubber band,drill|thermostat|vase,B,top-right,vase,rubber band,drill,thermostat,data/assets/2026-03-24/visual/vocab/vase.webp,data/assets/2026-03-24/visual/vocab/rubberBand.jpg,data/assets/2026-03-24/visual/vocab/drill.webp,data/assets/2026-03-24/visual/vocab/thermostat.webp,local_data/vocab_graphics/images/vocab__rubberband.png
vocab__stump,stump,bookshelf|log|showerhead,C,bottom-left,log,bookshelf,stump,showerhead,data/assets/2026-03-24/visual/vocab/log.webp,data/assets/2026-03-24/visual/vocab/bookshelf.webp,data/assets/2026-03-24/visual/vocab/stump.webp,data/assets/2026-03-24/visual/vocab/showerhead.webp,local_data/vocab_graphics/images/vocab__stump.png
vocab__sunflower,sunflower,pineapple|rim|pinball,D,bottom-right,rim,pinball,pineapple,sunflower,data/assets/2026-03-24/visual/vocab/rim.webp,data/assets/2026-03-24/visual/vocab/pinball.webp,data/assets/2026-03-24/visual/vocab/pineapple.webp,data/assets/2026-03-24/visual/vocab/sunflower.webp,local_data/vocab_graphics/images/vocab__sunflower.png
vocab__swordfish,swordfish,catfish|leopard|graffiti,B,top-right,leopard,swordfish,catfish,graffiti,data/assets/2026-03-24/visual/vocab/leopard.webp,data/assets/2026-03-24/visual/vocab/swordfish.webp,data/assets/2026-03-24/visual/vocab/catfish.webp,data/assets/2026-03-24/visual/vocab/graffiti.webp,local_data/vocab_graphics/images/vocab__swordfish.png
vocab__tapestry,tapestry,backdrop|leggings|forklift,D,bottom-right,backdrop,leggings,forklift,tapestry,data/assets/2026-03-24/visual/vocab/backdrop.webp,data/assets/2026-03-24/visual/vocab/leggings.webp,data/assets/2026-03-24/visual/vocab/forklift.webp,data/assets/2026-03-24/visual/vocab/tapestry.webp,local_data/vocab_graphics/images/vocab__tapestry.png
vocab__teabag,teabag,fingerprint|tea|braid,D,bottom-right,braid,tea,fingerprint,teabag,data/assets/2026-03-24/visual/vocab/braid.webp,data/assets/2026-03-24/visual/vocab/tea.webp,data/assets/2026-03-24/visual/vocab/fingerprint.webp,data/assets/2026-03-24/visual/vocab/teabag.webp,local_data/vocab_graphics/images/vocab__teabag.png
vocab__telescope,telescope,tripod|windshield|anklet,A,top-left,telescope,anklet,tripod,windshield,data/assets/2026-03-24/visual/vocab/telescope.webp,data/assets/2026-03-24/visual/vocab/anklet.webp,data/assets/2026-03-24/visual/vocab/tripod.webp,data/assets/2026-03-24/visual/vocab/windshield.webp,local_data/vocab_graphics/images/vocab__telescope.png
vocab__thermos,thermos,firewood|oilcan|coral,B,top-right,oilcan,thermos,firewood,coral,data/assets/2026-03-24/visual/vocab/oilcan.webp,data/assets/2026-03-24/visual/vocab/thermos.webp,data/assets/2026-03-24/visual/vocab/firewood.webp,data/assets/2026-03-24/visual/vocab/coral.webp,local_data/vocab_graphics/images/vocab__thermos.png
vocab__treasure,treasure,gift|rope|lamp,D,bottom-right,rope,lamp,gift,treasure,data/assets/2026-03-24/visual/vocab/rope.webp,data/assets/2026-03-24/visual/vocab/lamp.webp,data/assets/2026-03-24/visual/vocab/gift.webp,data/assets/2026-03-24/visual/vocab/treasure.webp,local_data/vocab_graphics/images/vocab__treasure.png
