task,item_uid,answer,response_alternatives,prompt_phrase,full_prompt,trial_type,age_band,category,hardness
synthetic-vocab,synthetic_vocab__waffle,waffle,"taco,cage,thumbtack",waffle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: waffle.",test,5,object,2
synthetic-vocab,synthetic_vocab__saw,saw,"chainsaw,sandpaper,stockings",saw,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: saw.",test,5,object,2
synthetic-vocab,synthetic_vocab__whistle,whistle,"radio,calf,reindeer",whistle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: whistle.",test,5,object,2
synthetic-vocab,synthetic_vocab__pepper,pepper,"puppet,cabinet,corkboard",pepper,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pepper.",test,5,object,2
synthetic-vocab,synthetic_vocab__shark,shark,"fish,lobster,bedpost",shark,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: shark.",test,5,animal,2
synthetic-vocab,synthetic_vocab__comb,comb,"hairbrush,cooler,anteater",comb,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: comb.",test,6,object,2
synthetic-vocab,synthetic_vocab__kangaroo,kangaroo,"rabbit,parrot,wreath",kangaroo,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: kangaroo.",test,6,animal,2
synthetic-vocab,synthetic_vocab__cherry,cherry,"berry,tattoo,doormat",cherry,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cherry.",test,6,object,2
synthetic-vocab,synthetic_vocab__wig,wig,"hair,pastry,starfish",wig,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: wig.",test,6,object,2
synthetic-vocab,synthetic_vocab__basket,basket,"bucket,collar,hail",basket,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: basket.",test,6,object,2
synthetic-vocab,synthetic_vocab__skirt,skirt,"shorts,brownie,backscratcher",skirt,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: skirt.",test,6,object,2
synthetic-vocab,synthetic_vocab__penguin,penguin,"duck,mosquito,knitting",penguin,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: penguin.",test,6,animal,2
synthetic-vocab,synthetic_vocab__bracelet,bracelet,"wrist,shoehorn,peppermint",bracelet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bracelet.",test,6,object,2
synthetic-vocab,synthetic_vocab__anchor,anchor,"cross,seed,toucan",anchor,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: anchor.",test,6,object,2
synthetic-vocab,synthetic_vocab__moth,moth,"bat,possum,fishbowl",moth,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: moth.",test,6,animal,2
synthetic-vocab,synthetic_vocab__peacock,peacock,"bird,beaver,eraser",peacock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: peacock.",test,6,animal,2
synthetic-vocab,synthetic_vocab__stapler,stapler,"staple,jewelry,bathrobe",stapler,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stapler.",test,6,object,2
synthetic-vocab,synthetic_vocab__eagle,eagle,"chick,skunk,pincushion",eagle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: eagle.",test,6,animal,2
synthetic-vocab,synthetic_vocab__chips,chips,"chip,doll,trunk",chips,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chips.",test,6,object,2
synthetic-vocab,synthetic_vocab__crumb,crumb,"muffin,daisy,doorbell",crumb,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: crumb.",test,6,object,2
synthetic-vocab,synthetic_vocab__camera,camera,"filter,robe,poinsettia",camera,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: camera.",test,6,object,2
synthetic-vocab,synthetic_vocab__crib,crib,"cot,kiwi,propeller",crib,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: crib.",test,6,object,2
synthetic-vocab,synthetic_vocab__magnet,magnet,"peg,shelf,cockroach",magnet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: magnet.",test,6,object,2
synthetic-vocab,synthetic_vocab__cauliflower,cauliflower,"cabbage,jewel,mantle",cauliflower,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cauliflower.",test,6,object,2
synthetic-vocab,synthetic_vocab__card,card,"file,tent,cable",card,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: card.",test,6,object,2
synthetic-vocab,synthetic_vocab__owl,owl,"robot,catfish,bassinet",owl,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: owl.",test,6,animal,2
synthetic-vocab,synthetic_vocab__stool,stool,"drum,coat,turtleneck",stool,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stool.",test,6,object,2
synthetic-vocab,synthetic_vocab__pineapple,pineapple,"banana,ruler,bunkbed",pineapple,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pineapple.",test,6,object,2
synthetic-vocab,synthetic_vocab__microphone,microphone,"headset,paperweight,walnut",microphone,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: microphone.",test,6,object,2
synthetic-vocab,synthetic_vocab__envelope,envelope,"mail,quilt,zebra",envelope,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: envelope.",test,6,object,2
synthetic-vocab,synthetic_vocab__fence,fence,"gate,batter,piglet",fence,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: fence.",test,6,object,2
synthetic-vocab,synthetic_vocab__timer,timer,"tag,knee,forklift",timer,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: timer.",test,6,object,2
synthetic-vocab,synthetic_vocab__handcuff,handcuff,"clasp,switch,dishwasher",handcuff,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: handcuff.",test,6,object,2
synthetic-vocab,synthetic_vocab__pearl,pearl,"diamond,steak,accordion",pearl,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pearl.",test,6,object,2
synthetic-vocab,synthetic_vocab__faucet,faucet,"toilet,wetsuit,lemonade",faucet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: faucet.",test,6,object,2
synthetic-vocab,synthetic_vocab__stamp,stamp,"sticker,dynamite,rattlesnake",stamp,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stamp.",test,6,object,2
synthetic-vocab,synthetic_vocab__trailer,trailer,"truck,earring,highlighter",trailer,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: trailer.",test,6,object,2
synthetic-vocab,synthetic_vocab__dice,dice,"buckle,mango,paintbrush",dice,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: dice.",test,6,object,2
synthetic-vocab,synthetic_vocab__mushroom,mushroom,"fungus,straw,coverall",mushroom,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: mushroom.",test,6,object,2
synthetic-vocab,synthetic_vocab__lava,lava,"coal,icicle,jukebox",lava,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: lava.",test,6,object,2
synthetic-vocab,synthetic_vocab__coconut,coconut,"nut,braid,pillbox",coconut,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: coconut.",test,6,object,2
synthetic-vocab,synthetic_vocab__slingshot,slingshot,"sling,ribbon,broccoli",slingshot,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: slingshot.",test,7,object,2
synthetic-vocab,synthetic_vocab__jellyfish,jellyfish,"crab,crow,jumpsuit",jellyfish,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: jellyfish.",test,7,animal,2
synthetic-vocab,synthetic_vocab__thermometer,thermometer,"stem,wax,origami",thermometer,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: thermometer.",test,7,object,2
synthetic-vocab,synthetic_vocab__dough,dough,"flour,jacket,cockatoo",dough,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: dough.",test,7,object,2
synthetic-vocab,synthetic_vocab__suit,suit,"costume,corn,mistletoe",suit,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: suit.",test,7,object,2
synthetic-vocab,synthetic_vocab__skeleton,skeleton,"bone,radiator,boa",skeleton,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: skeleton.",test,7,object,2
synthetic-vocab,synthetic_vocab__vacuum,vacuum,"vegetable,scale,sawhorse",vacuum,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: vacuum.",test,7,object,2
synthetic-vocab,synthetic_vocab__binoculars,binoculars,"eyepiece,panties,shredder",binoculars,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: binoculars.",test,7,object,2
synthetic-vocab,synthetic_vocab__wheelchair,wheelchair,"bike,oven,knot",wheelchair,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: wheelchair.",test,7,object,2
synthetic-vocab,synthetic_vocab__porcupine,porcupine,"boar,swan,mixer",porcupine,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: porcupine.",test,7,animal,2
synthetic-vocab,synthetic_vocab__pinball,pinball,"tray,crown,aardvark",pinball,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pinball.",test,7,object,2
synthetic-vocab,synthetic_vocab__blind,blind,"blinder,javelin,backgammon",blind,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: blind.",test,7,object,2
synthetic-vocab,synthetic_vocab__marble,marble,"crystal,dollhouse,pheasant",marble,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: marble.",test,7,object,2
synthetic-vocab,synthetic_vocab__goggles,goggles,"glasses,marker,coil",goggles,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: goggles.",test,7,object,2
synthetic-vocab,synthetic_vocab__shrimp,shrimp,"seafood,hay,padlock",shrimp,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: shrimp.",test,7,animal,2
synthetic-vocab,synthetic_vocab__xylophone,xylophone,"piano,dish,pantsuit",xylophone,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: xylophone.",test,7,object,2
synthetic-vocab,synthetic_vocab__drill,drill,"hip,pudding,crayfish",drill,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: drill.",test,7,object,2
synthetic-vocab,synthetic_vocab__tweezers,tweezers,"pen,gumdrop,cougar",tweezers,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tweezers.",test,7,object,2
synthetic-vocab,synthetic_vocab__crutch,crutch,"brace,streetlight,denture",crutch,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: crutch.",test,7,object,2
synthetic-vocab,synthetic_vocab__unicycle,unicycle,"motorcycle,pickax,bandanna",unicycle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: unicycle.",test,7,object,2
synthetic-vocab,synthetic_vocab__ramp,ramp,"bank,ankle,porthole",ramp,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ramp.",test,7,object,2
synthetic-vocab,synthetic_vocab__extinguisher,extinguisher,"lighter,sled,ravioli",extinguisher,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: extinguisher.",test,7,object,2
synthetic-vocab,synthetic_vocab__dart,dart,"mat,wick,seatbelt",dart,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: dart.",test,7,object,2
synthetic-vocab,synthetic_vocab__harp,harp,"coop,scone,incense",harp,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: harp.",test,8,object,3
synthetic-vocab,synthetic_vocab__microwave,microwave,"cooker,arrow,shuffleboard",microwave,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: microwave.",test,8,object,3
synthetic-vocab,synthetic_vocab__frame,frame,"screen,yarn,manatee",frame,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: frame.",test,8,object,3
synthetic-vocab,synthetic_vocab__almond,almond,"pecan,stomach,seismograph",almond,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: almond.",test,8,object,3
synthetic-vocab,synthetic_vocab__headrest,headrest,"footrest,emerald,guacamole",headrest,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: headrest.",test,8,object,3
synthetic-vocab,synthetic_vocab__headphones,headphones,"computer,noisemaker,trapdoor",headphones,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: headphones.",test,8,object,3
synthetic-vocab,synthetic_vocab__clipboard,clipboard,"notepad,ferry,airboat",clipboard,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: clipboard.",test,8,object,3
synthetic-vocab,synthetic_vocab__puck,puck,"plug,eggnog,eggbeater",puck,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: puck.",test,8,object,3
synthetic-vocab,synthetic_vocab__visor,visor,"helmet,calculator,llama",visor,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: visor.",test,8,object,3
synthetic-vocab,synthetic_vocab__scorpion,scorpion,"cobra,sardine,brooch",scorpion,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: scorpion.",test,8,animal,3
synthetic-vocab,synthetic_vocab__keyhole,keyhole,"hole,dandelion,confetti",keyhole,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: keyhole.",test,8,object,3
synthetic-vocab,synthetic_vocab__cannon,cannon,"riser,bandage,hairpin",cannon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cannon.",test,8,object,3
synthetic-vocab,synthetic_vocab__bowtie,bowtie,"beanie,weed,pelican",bowtie,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bowtie.",test,8,object,3
synthetic-vocab,synthetic_vocab__submarine,submarine,"scuba,catapult,ratchet",submarine,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: submarine.",test,8,object,3
synthetic-vocab,synthetic_vocab__makeup,makeup,"woman,chest,sprouts",makeup,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: makeup.",test,8,object,3
synthetic-vocab,synthetic_vocab__hinge,hinge,"bumper,minivan,beachball",hinge,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: hinge.",test,8,object,3
synthetic-vocab,synthetic_vocab__peeler,peeler,"penholder,sledgehammer,landmine",peeler,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: peeler.",test,8,object,3
synthetic-vocab,synthetic_vocab__cardinal,cardinal,"rooster,doghouse,penlight",cardinal,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cardinal.",test,8,animal,3
synthetic-vocab,synthetic_vocab__spool,spool,"reel,flashbulb,leopard",spool,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: spool.",test,8,object,3
synthetic-vocab,synthetic_vocab__thimble,thimble,"tinsel,roadsweeper,crossbow",thimble,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: thimble.",test,8,object,3
synthetic-vocab,synthetic_vocab__showerhead,showerhead,"strainer,rudder,licorice",showerhead,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: showerhead.",test,8,object,3
synthetic-vocab,synthetic_vocab__ginger,ginger,"van,wineglass,harmonica",ginger,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ginger.",test,8,object,3
synthetic-vocab,synthetic_vocab__duster,duster,"burner,marmalade,tablecloth",duster,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: duster.",test,8,object,3
synthetic-vocab,synthetic_vocab__crouton,crouton,"teacup,leash,workbench",crouton,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: crouton.",test,8,object,3
synthetic-vocab,synthetic_vocab__racket,racket,"paddle,badge,poppy",racket,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: racket.",test,8,object,3
synthetic-vocab,synthetic_vocab__tee,tee,"tab,sombrero,eggplant",tee,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tee.",test,8,object,3
synthetic-vocab,synthetic_vocab__overalls,overalls,"vest,navel,eyeliner",overalls,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: overalls.",test,8,object,3
synthetic-vocab,synthetic_vocab__tortilla,tortilla,"burrito,snowshoe,dashboard",tortilla,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tortilla.",test,8,object,3
synthetic-vocab,synthetic_vocab__outlet,outlet,"spout,wallet,scarecrow",outlet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: outlet.",test,8,object,3
synthetic-vocab,synthetic_vocab__trigger,trigger,"brake,cactus,guardrail",trigger,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: trigger.",test,8,object,3
synthetic-vocab,synthetic_vocab__compass,compass,"bomb,orchid,eel",compass,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: compass.",test,8,object,3
synthetic-vocab,synthetic_vocab__urinal,urinal,"dryer,wheelbarrow,clove",urinal,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: urinal.",test,8,object,3
synthetic-vocab,synthetic_vocab__stethoscope,stethoscope,"shears,hairnet,gargoyle",stethoscope,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stethoscope.",test,8,object,3
synthetic-vocab,synthetic_vocab__chandelier,chandelier,"champagne,handkerchief,valve",chandelier,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chandelier.",test,9,object,4
synthetic-vocab,synthetic_vocab__cashew,cashew,"olive,printer,vulture",cashew,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cashew.",test,9,object,4
synthetic-vocab,synthetic_vocab__sundial,sundial,"statue,tack,toad",sundial,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: sundial.",test,9,object,4
synthetic-vocab,synthetic_vocab__whisk,whisk,"twig,cart,magnifier",whisk,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: whisk.",test,9,object,4
synthetic-vocab,synthetic_vocab__organ,organ,"altar,turf,gazelle",organ,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: organ.",test,9,object,4
synthetic-vocab,synthetic_vocab__slicer,slicer,"cleaver,tamale,tambourine",slicer,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: slicer.",test,9,object,4
synthetic-vocab,synthetic_vocab__thermostat,thermostat,"pill,shaker,zucchini",thermostat,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: thermostat.",test,9,object,4
synthetic-vocab,synthetic_vocab__bagel,bagel,"banjo,chute,detonator",bagel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bagel.",test,9,object,4
synthetic-vocab,synthetic_vocab__jersey,jersey,"cardigan,trombone,washboard",jersey,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: jersey.",test,9,object,4
synthetic-vocab,synthetic_vocab__dumpster,dumpster,"compost,chime,stilt",dumpster,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: dumpster.",test,9,object,4
