item_uid,answer,high_similarity_distractor,medium_similarity_distractor,low_similarity_distractor,high_similarity_aoa,medium_similarity_aoa,low_similarity_aoa,age_band,category,hardness
synthetic_vocab__ramp,ramp,bank,ankle,porthole,6.440,4.890,10.120,7,object,2
synthetic_vocab__extinguisher,extinguisher,lighter,sled,ravioli,7.120,4.890,6.580,7,object,2
synthetic_vocab__dart,dart,mat,wick,seatbelt,4.620,7.830,6.470,7,object,2
synthetic_vocab__harp,harp,coop,scone,incense,8.250,10.260,10.450,8,object,3
synthetic_vocab__microwave,microwave,cooker,arrow,shuffleboard,6.950,6.070,10.630,8,object,3
synthetic_vocab__frame,frame,screen,yarn,manatee,5.840,6.610,10.560,8,object,3
synthetic_vocab__almond,almond,pecan,stomach,seismograph,6.800,5.260,10.650,8,object,3
synthetic_vocab__headrest,headrest,footrest,emerald,guacamole,6.550,8.260,9.680,8,object,3
synthetic_vocab__headphones,headphones,computer,noisemaker,trapdoor,9.700,8.210,9.160,8,object,3
synthetic_vocab__clipboard,clipboard,notepad,ferry,airboat,8.530,8.000,10.750,8,object,3
synthetic_vocab__puck,puck,plug,eggnog,eggbeater,6.050,7.450,9.050,8,object,3
synthetic_vocab__visor,visor,helmet,calculator,llama,5.710,8.220,8.610,8,object,3
synthetic_vocab__scorpion,scorpion,cobra,sardine,brooch,7.470,7.740,10.710,8,animal,3
synthetic_vocab__keyhole,keyhole,hole,dandelion,confetti,5.050,5.110,7.390,8,object,3
synthetic_vocab__cannon,cannon,riser,bandage,hairpin,10.560,5.940,8.170,8,object,3
synthetic_vocab__bowtie,bowtie,beanie,weed,pelican,10.720,6.790,8.220,8,object,3
synthetic_vocab__submarine,submarine,scuba,catapult,ratchet,7.600,10.560,10.210,8,object,3
synthetic_vocab__makeup,makeup,woman,chest,sprouts,4.950,5.050,9.110,8,object,3
synthetic_vocab__hinge,hinge,bumper,minivan,beachball,7.320,7.500,4.950,8,object,3
synthetic_vocab__peeler,peeler,penholder,sledgehammer,landmine,9.950,9.520,10.950,8,object,3
synthetic_vocab__cardinal,cardinal,rooster,doghouse,penlight,6.410,6.740,11.000,8,animal,3
synthetic_vocab__spool,spool,reel,flashbulb,leopard,9.120,7.780,6.840,8,object,3
synthetic_vocab__thimble,thimble,tinsel,roadsweeper,crossbow,6.610,9.830,10.670,8,object,3
synthetic_vocab__showerhead,showerhead,strainer,rudder,licorice,9.630,10.390,5.790,8,object,3
synthetic_vocab__ginger,ginger,van,wineglass,harmonica,5.200,8.780,7.320,8,object,3
synthetic_vocab__duster,duster,burner,marmalade,tablecloth,8.000,10.390,6.260,8,object,3
synthetic_vocab__crouton,crouton,teacup,leash,workbench,5.390,5.790,6.780,8,object,3
synthetic_vocab__racket,racket,paddle,badge,poppy,6.580,6.110,10.370,8,object,3
synthetic_vocab__tee,tee,tab,sombrero,eggplant,9.330,9.060,8.300,8,object,3
synthetic_vocab__overalls,overalls,vest,navel,eyeliner,5.830,9.600,10.630,8,object,3
synthetic_vocab__tortilla,tortilla,burrito,snowshoe,dashboard,9.370,7.680,9.210,8,object,3
synthetic_vocab__outlet,outlet,spout,wallet,scarecrow,8.000,5.890,5.560,8,object,3
synthetic_vocab__trigger,trigger,brake,cactus,guardrail,5.950,6.720,9.350,8,object,3
synthetic_vocab__compass,compass,bomb,orchid,eel,8.000,9.760,6.470,8,object,3
synthetic_vocab__urinal,urinal,dryer,wheelbarrow,clove,6.160,6.780,10.880,8,object,3
synthetic_vocab__stethoscope,stethoscope,shears,hairnet,gargoyle,9.460,8.700,10.180,8,object,3
synthetic_vocab__chandelier,chandelier,champagne,handkerchief,valve,10.260,7.220,10.780,9,object,4
synthetic_vocab__cashew,cashew,olive,printer,vulture,6.680,7.610,8.890,9,object,4
synthetic_vocab__sundial,sundial,statue,tack,toad,7.550,6.630,6.110,9,object,4
synthetic_vocab__whisk,whisk,twig,cart,magnifier,6.280,6.160,9.700,9,object,4
synthetic_vocab__organ,organ,altar,turf,gazelle,7.160,10.950,9.370,9,object,4
synthetic_vocab__slicer,slicer,cleaver,tamale,tambourine,8.940,10.560,6.530,9,object,4
synthetic_vocab__thermostat,thermostat,pill,shaker,zucchini,6.060,8.330,6.790,9,object,4
synthetic_vocab__bagel,bagel,banjo,chute,detonator,8.440,7.680,10.630,9,object,4
synthetic_vocab__jersey,jersey,cardigan,trombone,washboard,10.110,7.830,8.650,9,object,4
synthetic_vocab__dumpster,dumpster,compost,chime,stilt,9.720,7.830,10.250,9,object,4
synthetic_vocab__saxophone,saxophone,clarinet,clipper,shawl,9.220,9.560,9.740,9,object,4
synthetic_vocab__mascara,mascara,eyedropper,sifter,anklet,6.610,11.000,9.060,9,object,4
synthetic_vocab__mannequin,mannequin,figurine,bassoon,leek,9.000,10.380,11.000,9,object,4
synthetic_vocab__tripod,tripod,chaps,hobbyhorse,hovercraft,10.000,8.350,9.280,9,object,4
synthetic_vocab__scrabble,scrabble,sequin,pedal,antelope,8.760,6.500,8.390,9,object,4
synthetic_vocab__speedometer,speedometer,stopwatch,bookmark,alpaca,8.330,8.260,10.810,9,object,4
synthetic_vocab__gong,gong,bongo,bracket,deodorant,8.400,8.560,8.830,10,object,4
synthetic_vocab__plunger,plunger,mallet,folder,loveseat,10.940,8.210,8.500,10,object,4
synthetic_vocab__sidecar,sidecar,snowmobile,fossil,bolt,8.780,7.500,7.280,10,object,4
synthetic_vocab__ladle,ladle,kettle,lumber,chessboard,8.060,7.330,8.370,10,object,4
synthetic_vocab__pulley,pulley,gauge,veil,grapefruit,10.830,9.690,6.900,10,object,4
synthetic_vocab__squeegee,squeegee,sweeper,grater,projector,8.220,8.880,7.160,10,object,4
synthetic_vocab__binder,binder,copier,flute,corkscrew,8.170,8.470,7.780,10,object,4
synthetic_vocab__anvil,anvil,chisel,cornucopia,turban,10.530,9.260,10.240,11,object,4
